Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Lancaster,581.8063046,903.9684344,1519.881967,2223.180255,3020.659352,3647.104969,4204.527426,5030.360658,5947.902616,6919.046227,7908.189949,8974.276064,10255.43975,11612.58548,12963.45094,14272.48286,15472.65724,16409.7165,17326.85669,18213.05027,19113.30206,20136.48362,20648.60623,21144.98517,21627.36243,22097.17033,22542.95027,22728.86752
Manchester,4253.123748,5466.438892,7734.618624,10149.96909,12705.43457,14632.34926,15981.28676,17597.38784,19340.18109,21241.10027,23218.49768,25380.4495,27879.11957,30546.3231,33114.73054,35484.30917,37460.7609,38723.05689,39929.33557,41063.71805,42124.10264,43374.84239,43925.12965,44393.29939,44774.00646,45065.47061,45233.86426,44963.51643
Northumberland,0.007651926,0.013346165,0.022188846,0.034913017,0.051736722,0.057836817,0.059839172,0.064889868,0.070794569,0.077250634,0.083979503,0.096822405,0.131050282,0.165351509,0.199351054,0.231733552,0.260855409,0.28710103,0.309649737,0.328126229,0.35459906,0.388096787,0.415792823,0.443398737,0.470910913,0.498358604,0.524446924,0.524470729
Oldham,665.7196734,1026.300923,1741.508447,2557.506186,3482.045574,4305.219141,5032.270233,5876.434202,6780.826994,7741.397003,8752.274694,9871.513755,11202.72579,12625.92247,14058.3834,15435.7832,16656.47073,17468.68358,18248.08152,18993.11765,19687.20257,20443.64904,20951.45216,21421.834,21853.02956,22244.71878,22576.15533,22647.86453
Pendle,122.7838872,218.8393356,409.1689384,635.6389292,896.8809291,1115.978509,1321.192487,1592.577988,1897.338713,2226.560021,2582.569472,2971.373493,3434.115114,3927.913778,4425.356198,4908.79053,5351.05647,5681.935776,6007.658078,6328.345467,6639.009094,6985.060233,7194.888044,7394.849903,7584.541977,7764.099595,7915.851481,7971.448162
Preston,597.4547835,886.5954224,1436.416336,2036.077801,2689.046839,3205.021768,3626.870689,4160.16869,4749.334973,5374.847718,6024.957489,6744.320394,7616.512459,8547.4997,9476.035432,10359.45946,11139.38933,11715.68984,12282.71217,12837.3336,13384.04304,14000.76012,14359.49622,14701.25653,15024.88619,15329.97193,15604.06139,15684.10902
Ribble Valley,178.3229723,342.6236739,732.3666323,1168.650771,1649.998414,2072.907557,2501.830161,3073.784371,3683.298824,4313.533866,4948.557999,5619.311954,6397.216543,7226.675002,8073.145661,8896.597135,9651.778286,10180.05173,10687.4773,11177.29241,11681.99226,12250.0756,12543.53066,12829.65463,13109.87585,13385.37819,13649.12192,13787.08824
Richmondshire,0.107318777,0.191344435,0.347632852,0.547615994,0.795840879,0.936085669,1.075886172,1.400069775,1.770681741,2.170755078,2.586639909,3.065153196,3.743324323,4.43258626,5.123003336,5.793080786,6.422537239,6.977320622,7.497777871,7.978846257,8.525421024,9.16715178,9.469091456,9.7644646,10.05529156,10.34325049,10.61724506,10.64679536
Rochdale,710.3194553,1134.324082,2006.658106,3011.705357,4151.413934,5203.239884,6167.293756,7257.949679,8428.090067,9667.078444,10962.82154,12379.92653,14037.00958,15861.76086,17742.80125,19572.01835,21219.41801,22309.67581,23394.70591,24462.05076,25481.48299,26594.68743,27460.8986,28299.91684,29108.71068,29885.75542,30609.50419,31043.94817
Rossendale,170.9018083,290.043139,536.3296381,825.5843412,1159.669378,1464.456278,1747.646425,2078.309995,2428.474302,2797.752389,3182.99347,3599.613853,4090.138331,4623.795236,5168.2558,5704.684447,6185.925458,6505.906484,6826.097327,7135.895545,7441.059609,7766.649195,8011.591312,8247.920732,8475.062902,8692.893038,8890.640236,8998.826907
Salford,2028.679404,2650.583203,3970.549839,5372.097593,6852.58299,8109.810407,9147.702999,10282.0999,11465.56974,12696.1296,13956.71986,15316.35281,16861.0227,18555.79975,20222.96134,21795.13979,23130.09664,23922.96339,24696.22677,25432.08005,26118.24143,26900.5361,27381.75571,27824.24847,28224.84214,28582.12244,28879.9184,28914.82241
Sefton,0.004833222,0.009464405,0.019325682,0.030122144,0.041939411,0.049799872,0.059577711,0.083791366,0.111447223,0.141128752,0.171728218,0.204310415,0.242582856,0.281317776,0.319896977,0.357470653,0.393162417,0.425118601,0.455883782,0.485352208,0.516727364,0.552203139,0.56060072,0.568457784,0.57596144,0.583250188,0.590059567,0.589697956
South Lakeland,388.3689593,632.4651651,1121.314616,1695.582148,2366.070378,2854.619824,3327.939932,4140.748489,5037.159202,5989.721014,6975.167866,8070.303852,9485.585648,10955.94479,12437.49686,13875.85438,15222.66039,16325.71577,17388.8076,18399.58364,19474.97768,20718.99148,21316.7542,21899.38949,22470.32853,23032.41171,23567.78513,23699.84005
South Ribble,300.5057523,499.1558947,907.6265017,1353.85726,1842.369498,2268.37074,2653.363962,3095.888916,3566.571437,4059.693746,4560.301093,5124.149113,5826.370114,6594.792321,7368.440357,8125.27705,8823.414017,9304.114962,9798.828487,10276.40045,10743.8043,11257.63616,11631.18393,11997.71736,12356.91221,12708.65791,13049.2503,13206.56945
St. Helens,140.5502335,233.0058056,440.687508,669.3008076,919.4837395,1148.16059,1366.253004,1624.817095,1901.499217,2193.022517,2489.724425,2816.440699,3193.430158,3609.083552,4037.412859,4454.295232,4840.745224,5106.654382,5378.14101,5644.30679,5899.973834,6178.947374,6367.801082,6552.172324,6732.05724,6907.597222,7074.707082,7174.508717
Staffordshire Moorlands,0.028788089,0.045805972,0.082163934,0.123577361,0.17049804,0.210099983,0.246876387,0.293616805,0.344101358,0.39685352,0.451229127,0.509986856,0.580108872,0.656515037,0.733494826,0.809130405,0.87805601,0.926892066,0.97584501,1.023369781,1.071644555,1.124886523,1.158587333,1.191489439,1.223620051,1.255019461,1.284879569,1.300872698
Stockport,1209.972211,1795.36729,2790.1361,3904.4339,5151.562588,6171.930662,6943.8975,7796.90964,8709.158713,9681.837833,10695.71459,11853.81684,13340.05284,14943.49357,16544.23829,18095.70845,19472.88753,20425.45977,21382.4052,22327.82973,23222.55141,24209.61143,25000.46889,25761.9711,26490.74738,27184.84837,27833.39384,28089.7417
Tameside,790.4096918,1216.110524,2012.114174,2902.81027,3893.223385,4729.91619,5434.042088,6258.832345,7174.303891,8149.293595,9189.332741,10347.24372,11731.40126,13243.93362,14761.59678,16227.81155,17535.13068,18437.19255,19342.1176,20214.40016,21035.21829,21940.69272,22564.57116,23154.52856,23708.20171,24224.83169,24681.10691,24864.309
Trafford,1044.32596,1563.357923,2440.224791,3416.005203,4493.549594,5363.223664,5994.358116,6691.372546,7424.663019,8194.707873,8995.263531,9885.481721,10963.59328,12132.47314,13289.22391,14404.65917,15367.90766,15982.16766,16590.7877,17186.82137,17762.00404,18396.06508,18864.46972,19306.63632,19720.31007,20104.29995,20450.00296,20563.70415
Warrington,46.03551191,72.95325649,124.6757874,186.5635582,260.6075723,320.5444251,393.6095031,553.2664481,739.1026683,942.9063496,1158.106617,1387.786069,1641.802654,1905.401403,2171.564681,2434.264668,2686.305376,2904.471565,3119.939012,3330.981892,3542.421902,3777.667274,3852.221752,3922.797755,3990.317042,4055.479426,4118.153063,4150.753538
West Lancashire,318.5583426,518.5986222,934.9522071,1377.765404,1853.394589,2231.944268,2590.155579,3187.712517,3845.165477,4535.551781,5237.397752,5982.411082,6871.261387,7795.724472,8710.059063,9588.66261,10396.06763,11033.4738,11661.82804,12260.77306,12865.08596,13538.80727,13756.051,13957.24839,14144.85776,14320.78907,14481.36727,14479.27572
Wigan,1006.482264,1581.604447,2812.05866,4159.153274,5630.196604,6931.871748,8118.64736,9498.558935,10963.7861,12501.48872,14088.80973,15840.55477,17915.52755,20189.97498,22525.14446,24797.90757,26869.23891,28283.60836,29711.61082,31106.91867,32438.38989,33904.65779,34923.37858,35911.70626,36868.00144,37791.82209,38658.30654,39111.9902
Wyre,432.4504445,716.1379981,1308.892695,1974.506599,2717.80312,3373.578919,3992.952489,4805.928125,5668.087961,6568.033755,7494.771554,8490.249523,9682.675308,10956.98465,12258.94577,13525.7322,14680.49151,15511.46548,16318.59771,17105.28067,17886.34771,18763.11401,19286.76801,19800.28938,20305.08446,20802.24778,21286.26309,21543.91306
