Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Manchester,423.4336137,677.3420814,803.3365254,935.4131631,1075.459456,1205.437411,1348.47605,1545.935518,1759.771649,1988.139841,2223.070598,2484.538574,2748.598659,3020.45102,3317.376086,3593.067021,3841.795843,4009.910679,4151.533995,4306.790805,4494.15108,4664.296517,4792.951639,4859.923281,4917.097992,4971.445864,5010.747874,4965.426541
Northumberland,0.008664959,0.01395496,0.016663703,0.019528841,0.022588069,0.025471034,0.028663273,0.033047669,0.03782595,0.042908761,0.048184948,0.054090271,0.060104167,0.066354879,0.073250439,0.079779054,0.085784813,0.09005223,0.093781464,0.097879925,0.102775252,0.10730789,0.110955178,0.113216483,0.115282217,0.117313415,0.119019503,0.11873061
Oldham,140.7794575,225.1034075,266.6859539,310.1951642,356.214606,398.8418095,445.6816218,510.3190667,580.1445822,653.6278297,729.0941,813.0317387,897.4604972,984.2282806,1079.253614,1167.595296,1246.998766,1300.014947,1344.317848,1392.970028,1451.8658,1504.868943,1544.379377,1563.878532,1580.113359,1595.327619,1605.603909,1588.696476
Pendle,61.52718003,98.76476914,117.3764102,137.0709154,158.0840919,177.7861048,199.5854373,229.6641943,262.4323432,297.2555986,333.4272346,373.946572,415.2057572,458.1385922,505.5608314,550.5253505,591.9779953,621.498327,647.3687223,675.873343,709.9417681,741.5567639,767.1388684,783.2053154,797.9803141,812.5766372,824.979501,823.6001875
Preston,125.0751187,200.9813985,239.4417365,280.0546112,323.4097605,364.0946779,409.0551771,470.8974509,538.2352313,609.5555117,683.3195382,765.6350811,849.1701067,935.6333376,1030.534388,1119.621345,1200.96689,1257.761962,1306.903847,1361.000472,1426.003832,1485.341549,1532.326615,1559.986336,1584.815629,1609.040597,1628.687116,1620.986717
Ribble Valley,65.90265108,106.5247116,127.5945676,149.9822118,174.0455915,196.8592573,222.2208227,257.0695885,295.1927616,335.9237402,378.47908,426.2012212,475.0463435,525.985493,582.3357988,636.1122608,685.9479727,722.0191735,753.9012816,788.9055792,830.5034644,869.5585779,901.5470499,922.4159326,941.798706,961.0015059,977.6351861,977.923963
Richmondshire,0.127372876,0.205594937,0.246043316,0.288951037,0.334979674,0.378574611,0.426994942,0.493393798,0.565942257,0.643226577,0.723765117,0.814117393,0.906367772,1.002442822,1.108673467,1.209790871,1.303321892,1.370610455,1.429877496,1.49498588,1.572470809,1.644827873,1.703766604,1.741590445,1.776530211,1.811055899,1.84067091,1.839477332
Rochdale,134.9834355,217.8720349,260.5185194,305.8666208,354.5726453,400.761936,452.0921013,522.5590289,599.6817742,682.0324231,768.0318474,864.6649089,963.6145766,1066.979482,1181.396962,1290.704166,1392.229161,1466.027255,1531.38941,1603.111728,1688.270267,1768.387644,1834.186191,1877.413495,1917.656087,1957.56981,1992.284444,1993.707515
Rossendale,57.66700888,92.74268279,110.4526255,129.2024813,149.2421324,168.0985161,188.9667849,217.7000479,249.0016767,282.2698084,316.8356336,355.5385933,394.935636,435.9166542,481.1412245,524.0166458,563.4689233,591.5043029,616.0091583,642.9279485,675.0768219,704.9757849,729.0338958,744.007751,757.716356,771.2166098,782.5966781,780.8716057
Salford,180.0754366,289.8464043,345.7165349,404.6651462,467.5360579,526.5712143,591.8404029,681.5649216,779.2182732,882.7393498,989.9078887,1109.648163,1231.132372,1356.805645,1494.719217,1624.168791,1742.153444,1823.980469,1894.020838,1970.486001,2061.949582,2146.805493,2212.656707,2250.342142,2283.705349,2315.955078,2341.372772,2327.28627
Sefton,0.002606406,0.004193594,0.00500053,0.005856032,0.00677313,0.007637018,0.008594292,0.009911146,0.011348538,0.012873137,0.014453738,0.016222464,0.018028015,0.019904601,0.021969862,0.023921245,0.025721074,0.027007348,0.028139356,0.029387129,0.030880765,0.032253232,0.033369256,0.034070695,0.034715239,0.035351293,0.035891206,0.035830817
South Lakeland,173.6090169,280.2644332,335.4612993,394.02223,456.850935,516.3700624,582.4858289,673.1388441,772.1958555,877.7292824,987.7038008,1111.073449,1237.049839,1368.256208,1513.317642,1651.388251,1779.118881,1871.045522,1952.031868,2041.001008,2146.87359,2245.7231,2326.2662,2377.979722,2425.754274,2472.962267,2513.463493,2511.892674
South Ribble,73.10526308,118.0941266,141.4570394,166.2333264,192.7818149,217.9245848,245.8682084,284.2062474,326.1759896,370.9685913,417.6939751,470.158581,523.8098071,579.8839468,641.9262258,701.0501811,755.8503547,795.5466688,830.6496555,869.150677,914.8889227,957.6877224,992.7126332,1015.454595,1036.524631,1057.361296,1075.337051,1075.307243
St. Helens,29.35542898,47.36769223,56.65220745,66.50784044,77.07218057,87.07670773,98.18375573,113.4454231,130.134719,147.9567091,166.5554589,187.4468132,208.8262647,231.1401554,255.8189258,279.3729797,301.2379928,317.1049825,331.1474034,346.5701635,364.9039089,382.0672727,396.1541595,405.3556797,413.9044639,422.3744536,429.715515,429.8719349
Staffordshire Moorlands,0.008703127,0.014101029,0.016944997,0.019972208,0.023226326,0.026331442,0.029792264,0.034525607,0.039713354,0.045267617,0.051084576,0.057621576,0.064321298,0.071332225,0.079090829,0.086525416,0.093449079,0.098517633,0.103027613,0.107974575,0.11383989,0.119351795,0.123909227,0.12694321,0.129775143,0.132584425,0.135040928,0.135238324
Stockport,190.1548098,304.4900549,361.2464134,420.8221194,484.0756331,542.9618056,607.9275468,697.4276453,794.3048379,896.6059287,1002.09338,1119.822394,1238.67507,1361.495689,1496.436741,1622.906893,1737.721229,1816.480368,1883.718122,1957.727603,2046.935314,2127.984146,2190.798767,2225.708158,2256.362434,2285.943367,2308.816451,2292.813426
Tameside,141.2811416,225.5501901,266.5815482,309.5973679,355.1732079,397.3475643,443.7198016,507.7929103,577.0346102,649.9532262,724.9373583,808.4253085,892.4965797,979.0407538,1073.947532,1162.36841,1242.119094,1295.806023,1341.03143,1390.83718,1451.144245,1505.74549,1547.138264,1568.710891,1587.212712,1604.892032,1617.802022,1603.470198
Trafford,176.8426956,283.6838409,337.2421217,393.5303708,453.257688,509.0154463,570.4750174,655.0074487,746.6348477,843.6248636,943.6556256,1055.387985,1168.184883,1284.800108,1413.201903,1533.782378,1643.445924,1719.023809,1783.75421,1855.007362,1940.708086,2018.581641,2079.231422,2113.387478,2143.477627,2172.51993,2195.155672,2180.780712
Warrington,19.01342349,30.62822529,36.57117726,42.86493806,49.59767945,55.95381846,63.00259089,72.68841015,83.26567006,94.53623732,106.2832591,119.4613044,132.9211943,146.9718394,162.5042446,177.2972273,190.9919086,200.8646149,209.575672,219.1499926,230.5495073,241.1758039,249.8529067,255.4380097,260.6040423,265.7131767,270.1055189,269.9796257
West Lancashire,77.89179635,124.5012848,147.47306,171.5414951,197.0529797,220.6597932,246.5997321,282.3959168,321.0699893,361.6318504,403.1583607,449.2699881,495.6748472,543.3052197,595.3204672,643.4644329,686.7702426,715.7241207,740.0846466,766.9988129,799.7614495,828.8719113,850.8616798,861.9136324,871.2541911,880.1227109,886.3596696,877.6735527
Wigan,188.0274083,302.5839843,360.7990615,422.4283506,488.3132502,550.3712156,619.1358558,713.7247713,816.9482934,926.852669,1041.222089,1169.466896,1300.318331,1436.549835,1586.991163,1729.927906,1861.858622,1956.282988,2039.155843,2130.189265,2238.724729,2339.85664,2421.783641,2473.627733,2521.332022,2568.407838,2608.483243,2604.898216
Wyre,96.87086668,156.0567245,186.2281185,218.269265,252.7067632,285.3120342,321.4824231,371.2136194,425.577759,483.4933554,543.9006588,611.7004993,680.9936834,753.2385544,833.0458255,908.9477502,979.0804192,1029.557674,1073.946935,1122.679398,1180.664743,1235.186963,1279.542103,1308.099532,1334.548981,1360.745042,1383.307953,1382.766679
