Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Lancaster,4367.348805,5963.021317,8006.174546,10527.03017,13637.70372,18051.44298,23344.52932,29005.19,34522.27826,39974.48926,45271.90293,50391.08689,55854.8335,61175.66414,66204.5669,70919.33419,75232.28174,79192.11126,82595.70306,85568.83215,88114.36126,90318.77638,92153.66586,93536.54997,94597.99454,95382.20407,96011.12561,96514.49527
Manchester,13546.6921,18503.68923,24575.05442,31566.96306,39601.86118,50998.11435,64648.02458,79153.05162,93209.37542,107046.2204,120445.9154,133356.7619,146910.9446,160057.1335,172378.1626,183669.4398,193837.7481,203083.9501,210921.6371,217602.1289,223135.6156,227660.6493,231225.6056,233686.2695,235535.2385,236947.3248,238035.4464,238927.4022
Northumberland,2.089858093,2.830691476,3.788094746,4.97809611,6.464809321,8.59143787,11.16274248,13.94664539,16.68874506,19.41182301,22.06880462,24.64598365,27.4393242,30.17163405,32.76114792,35.19461968,37.42768415,39.48456884,41.26356147,42.82725051,44.19413075,45.38464028,46.39844437,47.1800742,47.83699322,48.37675673,48.70997471,48.98225998
Oldham,7111.082468,9702.705229,12924.58976,16701.79595,21127.79506,27424.89775,34987.26038,43051.45139,50890.76273,58617.27747,66107.53794,73331.30796,80953.57461,88354.82702,95338.23422,101875.0727,107736.734,113056.8861,117579.1115,121477.6993,124775.2523,127409.8455,129475.8773,130935.4715,132056.7976,132954.0252,133692.2266,134295.8587
Pendle,2122.900137,2896.439457,3878.441047,5063.00944,6493.449952,8533.904176,10990.70198,13623.23531,16193.44618,18732.30872,21198.19296,23580.34551,26118.73928,28589.18873,30923.55937,33111.55111,35112.26286,36948.44004,38525.28294,39902.95605,41052.55057,42019.60328,42801.78179,43372.13384,43835.31548,44187.16775,44440.71652,44648.61485
Preston,4724.817456,6433.539871,8556.71475,11036.48276,13934.32002,18067.05155,23040.93016,28358.08404,33538.23809,38647.85546,43604.66918,48388.06878,53445.4313,58359.46481,62998.10705,67251.74844,71087.61384,74604.91638,77527.6804,80019.91747,82114.6426,83903.98206,85342.03082,86378.92166,87221.69291,87908.56458,88448.64802,88887.20001
Ribble Valley,2877.085195,3874.640422,5137.63316,6653.127872,8480.36228,11086.95574,14226.98323,17596.35121,20889.53126,24145.04647,27309.20477,30367.8101,33606.73191,36758.93199,39736.99373,42527.3895,45070.24549,47403.21256,49404.82258,51149.86172,52621.25912,53892.16919,54963.55841,55721.09399,56296.83896,56706.8061,57022.33079,57297.74127
Richmondshire,4.544791909,6.17052575,8.271900767,10.89255282,14.18627779,18.91444349,24.65497954,30.91698357,37.12436713,43.30913078,49.36103843,55.2458724,61.71806063,68.07029639,74.10304613,79.78291144,85.00826805,89.8333247,94.0264257,97.72735224,100.9774324,103.8211055,106.2568093,108.14197,109.721825,110.8821296,111.8274519,112.5301325
Rochdale,6758.788834,9195.250859,12279.34267,15981.65658,20427.14634,26754.2024,34354.00445,42464.14812,50353.79423,58133.11864,65676.94671,72954.44519,80634.20211,88092.55221,95130.4269,101718.3249,107731.9578,113241.7031,117942.8996,121949.7225,125415.0946,128363.6335,130645.5122,132226.08,133472.6281,134454.4724,135238.0078,135844.4741
Rossendale,2481.150927,3369.090025,4498.295586,5866.248492,7527.183359,9892.895352,12738.37852,15786.30531,18761.04063,21700.13598,24555.30367,27313.99367,30246.20677,33099.89297,35796.05592,38322.67947,40632.64576,42752.2717,44571.07905,46154.16286,47527.29408,48706.39032,49634.5176,50298.95781,50815.32883,51225.88691,51544.64349,51792.89271
