Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Lancaster,581.8063046,803.4804723,1065.440052,1369.695189,1701.623243,1717.080798,1830.179107,2307.665126,2793.350475,3277.75007,3743.834557,4214.741849,4719.036911,5282.05151,5834.065489,6364.08696,6911.456881,7650.161827,8395.177602,9144.48894,9987.409765,10823.38069,11288.99409,11754.63811,12220.3132,12686.00506,13151.62557,13617.17199
Manchester,4253.123748,5120.624809,6114.621145,7222.949791,8395.233007,8385.640251,8698.027976,10229.31449,11744.83326,13236.79989,14660.14996,16110.30259,17638.69988,19365.11828,21027.12792,22596.59979,24239.20872,26295.31957,28376.21096,30479.39084,32743.57472,34896.74184,35955.64463,37011.98558,38065.78556,39116.83138,40163.78264,41206.54976
Northumberland,0.007651926,0.014214034,0.023856697,0.036177748,0.049693409,0.050043821,0.050205507,0.050903702,0.051574396,0.052211856,0.052795819,0.05337106,0.053955135,0.054605522,0.055231193,0.055713841,0.055736739,0.073237811,0.089500345,0.104433914,0.131674717,0.159629694,0.187103512,0.214567809,0.242022152,0.269466094,0.296898719,0.324320612
Oldham,665.7196734,902.3444364,1164.870967,1459.920192,1780.058128,1806.889103,1983.910066,2719.591323,3485.492783,4270.423765,5061.110309,5888.956901,6786.888964,7797.610438,8839.249819,9873.697607,10963.3291,12313.42216,13690.57811,15102.39615,16593.91022,18092.06732,18894.29887,19694.68309,20493.22583,21289.91975,22084.69429,22877.54601
Pendle,122.7838872,182.9279475,253.3288296,337.1723779,429.6865429,435.3814727,478.7242302,658.5622228,845.6431447,1034.759599,1225.046072,1418.423566,1626.551809,1860.794411,2099.208962,2330.645208,2568.384106,2877.964845,3192.098496,3513.888385,3853.9756,4202.30614,4387.371896,4572.399593,4757.389189,4942.339861,5127.246403,5312.109034
Preston,597.4547835,785.7343149,998.6088077,1241.551019,1503.469324,1508.329138,1602.582312,2014.120651,2425.846872,2829.947989,3216.879965,3606.804092,4021.117156,4483.0619,4938.297884,5365.797523,5802.928859,6394.291896,6990.844097,7594.877141,8247.871791,8889.017122,9224.270339,9559.411823,9894.441666,10229.3494,10564.0728,10898.60878
Ribble Valley,178.3229723,256.5567052,352.9704406,468.196558,593.6449318,596.2399782,690.446731,1090.453397,1486.647389,1875.034907,2247.648604,2624.191035,3024.207259,3462.619036,3909.548422,4343.154007,4768.747691,5284.870865,5799.003704,6320.17457,6912.335752,7509.318756,7790.923879,8072.501601,8354.050682,8635.567049,8917.031466,9198.444952
Richmondshire,0.107318777,0.18130289,0.285437129,0.416431387,0.560060937,0.563786627,0.584226523,0.670431087,0.754954761,0.837345552,0.916762296,0.996670441,1.080320425,1.172927082,1.268305727,1.359271202,1.444281061,1.691888278,1.930764336,2.160331338,2.506515122,2.862715267,3.150896061,3.439042309,3.727150205,4.015214165,4.303216525,4.591162037
Rochdale,710.3194553,969.5848244,1259.00532,1585.972217,1940.659788,1970.200277,2191.231827,3109.826638,4067.809514,5049.849406,6034.571744,7059.28093,8167.329948,9420.943709,10721.14017,12000.9959,13316.52059,14875.66792,16477.13402,18123.73471,19864.1276,21621.95451,22510.6534,23398.62961,24285.88799,25172.42174,26058.16796,26943.12353
Rossendale,170.9018083,244.6607685,328.7153069,424.9360866,530.8407647,540.1147262,604.5118889,872.126718,1151.518073,1437.882886,1725.215714,2021.816638,2342.968062,2703.290626,3074.355007,3444.729339,3822.854925,4277.864066,4747.18341,5225.760233,5740.756921,6258.052143,6520.791952,6783.304235,7045.589772,7307.647333,7569.465786,7831.044737
