Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Lancaster,4367.348805,5610.001447,6983.907886,9026.646881,11944.0918,15644.94304,19995.94096,24810.64414,29618.98337,34506.11975,39408.54637,44301.65331,49168.2564,53663.55242,57922.4141,61946.70929,65691.17345,69163.15994,72142.8261,74797.09727,77109.71484,79151.85708,80913.50483,82301.09439,83432.84806,84355.43358,85136.58553,85786.54112
Manchester,13546.6921,17408.24287,21437.19393,27067.82674,34683.8643,44199.38034,55374.77602,67706.44136,79970.58944,92402.67398,104846.453,117241.4686,129323.7226,140402.7973,150813.7548,160431.8134,169254.8576,177365.2388,184228.5061,190209.533,195268.0976,199512.9241,203022.5708,205616.2616,207735.6487,209554.7541,211074.7584,212369.7104
Northumberland,2.089858093,2.663110264,3.30441269,4.268584303,5.661970488,7.446083744,9.561535236,11.92977035,14.31839634,16.75635391,19.21057994,21.66767757,24.1544669,26.46668554,28.66274738,30.7418407,32.68103046,34.48421195,36.04146257,37.43599091,38.67470377,39.77333069,40.73913628,41.51288177,42.19092177,42.78410557,43.19292063,43.53769502
Oldham,7111.082468,9128.290422,11274.31632,14321.34343,18504.01863,23768.79032,29968.6142,36825.62466,43662.60663,50598.6401,57545.66974,64469.69856,71262.33959,77505.22954,83411.4766,88985.96674,94073.34609,98739.27306,102698.9187,106185.6176,109192.009,111657.0251,113683.4539,115207.7193,116470.4895,117583.7207,118549.7994,119368.362
Pendle,2122.900137,2724.965866,3383.223143,4341.395212,5687.054353,7396.220061,9414.172583,11653.12977,13893.44613,16169.79478,18452.72489,20730.81484,22991.97383,25078.55778,27055.04009,28922.31934,30659.25553,32269.26051,33649.72613,34879.81792,35925.47711,36824.34336,37581.16561,38162.3449,38661.55127,39078.85889,39407.21286,39685.75107
Preston,4724.817456,6052.664592,7464.152482,9463.488854,12203.8725,15658.47077,19735.8907,24257.11851,28774.70917,33360.96479,37957.24315,42540.68685,47047.29216,51193.1704,55117.08052,58743.14188,62072.14062,65156.89104,67716.18569,69946.70139,71859.30403,73530.18123,74932.6981,76003.22854,76927.15144,77745.79285,78430.65935,79007.04882
Ribble Valley,2877.085195,3645.255856,4481.635583,5704.879249,7427.219978,9608.915545,12186.23484,15051.67896,17922.53323,20842.08905,23772.27359,26698.05868,29583.55271,32245.09127,34765.91894,37146.87772,39354.34691,41400.03239,43152.40857,44710.91969,46049.36387,47228.9976,48259.54678,49027.9684,49652.2747,50151.14991,50563.79156,50928.87886
Richmondshire,4.544791909,5.805221303,7.215704911,9.34007278,12.42454064,16.39289398,21.11841745,26.44596629,31.85149036,37.38459405,42.96808054,48.56976971,54.32957615,59.71155312,64.83279819,69.68887791,74.22734964,78.45676174,82.12693673,85.42505593,88.36631063,90.98477233,93.29646053,95.15213553,96.77165357,98.06347221,99.16150198,100.0219792
Rochdale,6758.788834,8650.878117,10711.45746,13703.84318,17890.38067,23187.50767,29426.19383,36323.25344,43201.90524,50180.71251,57170.8462,64138.3772,70981.20029,77275.16096,83229.66586,88849.0505,94069.17561,98900.6847,103016.6677,106598.2208,109751.9411,112492.8877,114710.4261,116343.3021,117719.2133,118910.7069,119920.5003,120744.8428
Rossendale,2481.150927,3169.634806,3923.93169,5030.151223,6592.412539,8574.039452,10911.15873,13503.39036,16096.35802,18731.63372,21375.04193,24013.27601,26625.32777,29035.3667,31317.99016,33474.14231,35479.53244,37338.09036,38930.39814,40344.0987,41591.58668,42684.38303,43580.49939,44257.13023,44817.73245,45303.85876,45706.52538,46035.91519
Salford,7214.604568,9261.852032,11457.92337,14598.42222,18936.56735,24406.48864,30845.84688,37961.85736,45054.00559,52247.05989,59449.88423,66627.56995,73668.25565,80138.89432,86259.8014,92035.35637,97376.68736,102305.8649,106472.5707,110079.8254,113187.6752,115773.7532,117983.7059,119693.1427,121015.4189,122096.7866,123048.4765,123862.1331
Sefton,0.194641606,0.250229869,0.307733247,0.387878681,0.496443445,0.632875541,0.794370221,0.975056496,1.156828473,1.342165002,1.528592069,1.71508383,1.902241711,2.075578022,2.2401114,2.395834025,2.540951719,2.67579427,2.791826748,2.895537861,2.987431754,3.06779582,3.106175608,3.136900256,3.166051923,3.194037861,3.220291209,3.244203736
South Lakeland,4547.528499,5812.482494,7174.677713,9172.714045,12001.4055,15582.64965,19811.97135,24538.8768,29295.6525,34150.94619,39039.01682,43932.78495,48870.67164,53457.18038,57813.01895,61937.02421,65783.10265,69359.24477,72444.54706,75186.66984,77543.12586,79585.47591,81333.11523,82732.97481,83928.00923,84917.94006,85754.08493,86457.92602
South Ribble,4216.762312,5385.851343,6688.360966,8614.565323,11352.57526,14840.34944,18957.48091,23518.56167,28078.17613,32707.82123,37347.98484,41975.95343,46546.86908,50760.09257,54748.46338,58514.19469,62014.33436,65256.13357,68032.17787,70502.78939,72672.05538,74545.71854,76174.40007,77438.89121,78512.4788,79385.73532,80056.0036,80621.78757
St. Helens,2067.283515,2646.247904,3292.590976,4249.922776,5611.175518,7344.060403,9386.543165,11644.34305,13897.32232,16183.14201,18472.64805,20754.84119,23003.42845,25073.78987,27032.79326,28881.81242,30599.70612,32190.09647,33550.50733,34714.82846,35735.88333,36631.3545,37407.16818,38027.37502,38570.1546,39028.69156,39398.94433,39688.49982
Staffordshire Moorlands,0.369190424,0.472922327,0.584690301,0.747873845,0.977725122,1.268206332,1.610507871,1.991325254,2.373084539,2.761926706,3.15269746,3.543322794,3.934027812,4.295745809,4.638841955,4.963351393,5.265613364,5.546250421,5.787615375,6.003212405,6.194094114,6.346382334,6.477504798,6.574286575,6.660991037,6.738799058,6.806463143,6.861615773
Stockport,11523.61487,14652.93194,17959.86509,22676.2056,29170.89632,37312.70957,46892.61696,57503.03654,68090.95647,78843.83624,89623.73931,100376.2598,110883.5041,120542.3918,129635.966,138083.41,145886.2155,153062.2707,159173.3889,164525.6972,169162.3985,173209.7966,176596.5772,179120.6023,181259.3816,182996.5109,184410.2673,185630.1658
Tameside,6754.818085,8671.47072,10782.31262,13876.97275,18241.83424,23777.64771,30292.90171,37488.03292,44660.14287,51935.44098,59221.38845,66482.9553,73633.14073,80213.50067,86429.76474,92271.4879,97699.5439,102724.9336,107021.4337,110815.6444,114111.7806,117011.4973,119426.4986,121239.5301,122800.6546,124145.1181,125275.5168,126179.0408
Trafford,8563.83583,10847.32601,13290.24635,16784.61944,21599.09214,27642.80071,34750.57142,42586.53731,50376.65285,58265.69639,66155.46271,74008.77338,81560.69557,88466.1432,94985.97982,101128.0323,106820.6152,112074.7843,116529.0287,120305.6749,123588.5116,126359.7685,128592.6545,130243.6394,131581.277,132684.7019,133607.1486,134413.3467
Warrington,958.1659982,1219.29725,1494.204285,1883.941533,2417.91072,3086.504885,3873.014572,4743.365697,5611.158991,6491.96921,7374.569923,8254.554595,9112.111066,9899.576546,10644.40556,11347.19667,11999.86182,12603.63199,13118.59933,13555.04413,13899.86521,14204.76267,14471.99954,14660.75137,14822.84762,14948.7315,15050.697,15145.15814
West Lancashire,3941.411723,5041.73848,6251.319366,8018.836517,10504.90165,13662.45839,17388.42628,21514.93065,25637.44072,29822.12035,34015.38184,38196.72391,42317.87768,46112.9955,49704.89059,53095.82365,56246.77912,59164.62224,61660.89592,63881.09814,65836.45681,67499.99353,68886.0907,69969.51115,70832.84337,71532.8819,72099.9927,72584.78887
Wigan,10769.25306,13791.49273,17176.04909,22193.31426,29337.26686,38445.93328,49191.90453,61080.37588,72953.20494,85001.66377,97071.7039,109105.1511,120985.8095,131931.5408,142290.6581,152069.838,161158.2005,169573.8496,176777.428,183151.7757,188717.9741,193484.4643,197603.8222,200861.1105,203683.5492,206041.4659,207967.8158,209551.5238
Wyre,4151.084173,5333.343723,6623.532313,8509.00921,11164.0216,14529.48405,18495.02792,22890.58715,27284.86236,31750.71489,36230.23855,40700.8966,45141.67177,49240.82565,53124.13553,56793.34128,60206.59369,63371.13349,66085.16927,68504.08223,70637.31502,72490.98987,74012.87834,75108.84679,76045.5503,76842.96548,77495.39276,78049.34217
