Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Manchester,2092185.728,2277761.344,2403369.393,2525349.568,2626177.038,2718201.834,2816986.571,2914212.614,3019266.486,3113050.833,3205892.032,3330288.059,3483536,3635421.688,3776961.646,3893448.77,3993218.621,4099554.84,4188643.501,4258705.506,4320265.492,4378019.948,4436200.444,4488579.851,4536841.389,4581147.964,4618355.388,4610125.539
Northumberland,11.06235539,11.81772558,12.25150037,12.91539283,13.69492949,14.13639421,14.71496641,15.3124949,15.89466313,16.58551341,17.19104639,17.96532299,19.22319947,20.61326331,21.48110989,22.29790704,23.08177291,23.8223354,24.33068467,24.89352135,25.22825021,25.54480524,25.96178428,26.25843186,26.52773759,26.79167997,27.0015622,26.90167426
Oldham,909684.2336,1002534.221,1058335.07,1103438.206,1151049.439,1187293.534,1223933.225,1265317.876,1309751.081,1348628.387,1386213.253,1429743.732,1498141.016,1561099.68,1620817.711,1675609.485,1724594.083,1768718.014,1808110.708,1842197.852,1872181.901,1900422.351,1927510.76,1953344.65,1977212.918,1999011.975,2017713.911,2015234.596
Pendle,322764.0885,343388.8777,358701.2302,369572.2116,380090.7889,391580.5362,415286.6186,427418.195,440755.0266,462896.9597,475497.928,490718.1148,518943.7276,550971.4839,573629.6223,594920.6652,614138.1868,650331.2214,665384.3019,678534.0159,690276.5262,701728.1064,712327.7161,722435.6501,731926.3915,740746.4311,748354.3158,745861.7358
Preston,575273.7937,631413.0134,664231.7283,696196.8118,748008.5786,777993.5302,807109.1204,839141.1061,874764.7178,907918.0545,945291.4519,976575.9615,1026240.192,1069990.602,1112617.309,1158193.794,1192792.032,1224815.022,1251571.257,1274743.41,1302918.412,1321886.034,1339964.273,1357288.874,1373563.969,1388686.328,1401745.519,1398329.108
Ribble Valley,224867.7233,241670.3862,252865.0847,261860.8096,273326.6333,282282.5586,296888.4448,306456.2765,317058.5936,331521.6096,342014.2049,352872.1852,372178.2677,392516.8757,408272.8099,423821.6903,436916.5114,458050.5093,468446.6416,477499.2111,486591.2373,494316.3184,501525.7201,508409.3453,514871.19,520873.3853,526048.0037,524429.4596
Richmondshire,283.7363289,303.1106805,314.2364908,331.264547,351.2587399,362.5817878,377.4214804,392.7473792,407.6793056,425.398798,440.9300025,460.7892813,493.052325,528.705818,550.9650562,571.9149368,592.0201689,611.0147206,624.0532782,638.4893732,647.0747725,655.1940345,665.8890534,673.4977131,680.4050864,687.174896,692.5581272,689.9961197
Rochdale,760713.5624,832759.3335,890751.9977,944024.5988,1001254.056,1057635.709,1118374.295,1173108.429,1230345.098,1286766.44,1342649.224,1404979.055,1491716.039,1576016.182,1656861.626,1732763.657,1806020.202,1852082.905,1893790.673,1930302.515,1962983.18,1994013.827,2023909.577,2052656.919,2079833.085,2105250.512,2127563,2124527.419
Rossendale,308310.0385,328491.5295,343686.0103,354804.5532,365710.354,377545.9234,400533.2834,412874.2824,426365.7455,447795.3987,460609.2893,475942.3713,503601.9462,534637.3909,557138.3269,578285.8795,597519.8036,631285.8433,645874.0249,658622.4804,670011.6127,681099.6685,691392.4939,701215.1118,710444.5897,719028.5609,726444.9562,724118.607
Salford,947353.9361,1009658.062,1052714.291,1124878.329,1190509.075,1231048.351,1274323,1320678.563,1375914.501,1431866.141,1493722.56,1546376.005,1628463.246,1704971.962,1803296.524,1864669.804,1918688.493,1970190.425,2013481.644,2050813.684,2083624.691,2114249.441,2143473.855,2171043.063,2196876.23,2220722.193,2241389.072,2238510.211
