Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Lancaster,4367.348805,5445.448467,7125.044825,9418.722089,12482.75897,16837.79852,21709.80037,26804.17879,31698.40581,36436.9916,40930.08005,45406.85313,50131.68003,54968.71656,59500.56685,63725.38314,67538.27696,70994.64008,74022.1244,76637.08008,78861.87301,80779.40991,82378.92812,83656.49779,84640.00031,85384.61814,85961.30255,86393.34956
Manchester,13546.6921,16897.623,21870.41556,28243.52619,36248.07355,47569.38131,60120.96834,73146.65228,85584.9833,97573.285,108894.4939,120166.3087,131857.7464,143817.5674,154922.8228,165038.2869,174013.9633,182061.972,189027.6017,194888.6219,199705.1597,203615.3904,206699.5095,209002.5225,210741.2821,212111.442,213119.4368,213871.901
Northumberland,2.089858093,2.584995716,3.371191162,4.453991585,5.917319966,8.013813637,10.38105792,12.88832711,15.32362985,17.69399548,19.95228566,22.20822429,24.62775976,27.11038815,29.44369192,31.62453018,33.59995522,35.39737366,36.98033152,38.35690338,39.55350612,40.59116618,41.47696217,42.1965507,42.80136319,43.30609614,43.6113299,43.84565756
Oldham,7111.082468,8860.538728,11502.1576,14943.39542,19338.53225,25581.05207,32537.23509,39784.5627,46727.97193,53430.00715,59767.4638,66078.03355,72658.68405,79390.25283,85684.10374,91541.01792,96718.49914,101353.9456,105374.1937,108797.7472,111673.1707,113952.9625,115742.3732,117105.0566,118155.6485,119018.3093,119698.1898,120212.7104
Pendle,2122.900137,2645.036964,3451.594286,4529.965061,5943.535089,7960.148076,10221.06476,12589.45847,14868.8457,17074.61404,19165.17041,21247.9895,23442.48829,25688.4994,27792.18108,29752.76495,31521.33205,33123.76903,34526.29108,35737.84942,36741.80899,37581.54056,38261.79753,38790.83438,39220.92782,39555.64333,39788.95002,39966.467
Preston,4724.817456,5875.127384,7614.994628,9874.538427,12754.25553,16852.35768,21427.46112,26206.17739,30794.85872,35227.75678,39422.74312,43601.95558,47969.15671,52438.25178,56618.79921,60429.8318,63817.48421,66882.28287,69480.17137,71667.36612,73492.15751,75042.13887,76289.80307,77254.9134,78040.17569,78694.33601,79190.41615,79565.90273
Ribble Valley,2877.085195,3538.332939,4572.204409,5952.672449,7762.180526,10341.55149,13230.72149,16261.081,19180.79781,22008.35763,24690.1028,27364.09905,30163.22537,33029.33187,35713.15036,38213.4748,40460.91189,42496.32899,44276.51545,45810.7929,47095.74006,48200.13955,49133.57471,49835.40207,50370.67107,50763.02264,51053.60235,51289.12271
Richmondshire,4.544791909,5.634942121,7.36152621,9.745761737,12.98487559,17.64277731,22.92848473,28.57089905,34.08764759,39.47653777,44.6270451,49.78144685,55.39413287,61.16381213,66.5992311,71.68985239,76.31447323,80.53434177,84.26631801,87.52648286,90.37425157,92.85563842,94.98615133,96.71918065,98.17179898,99.25990269,100.1220782,100.7294816
Rochdale,6758.788834,8397.129916,10927.924,14299.07385,18697.21981,24955.44928,31948.32367,39241.82597,46234.92667,52988.69342,59378.16862,65738.44666,72372.03598,79154.58869,85497.33939,91400.1704,96714.2114,101519.6315,105700.22,109220.5002,112245.8261,114806.0125,116787.945,118259.3411,119422.4395,120361.4856,121082.1686,121598.9277
Rossendale,2481.150927,3076.662842,4003.229945,5248.6374,6889.724068,9227.770818,11846.35813,14588.38745,17226.41463,19779.80676,22200.31586,24612.33872,27147.03572,29741.54282,32171.27938,34435.28427,36477.14544,38326.8244,39944.52296,41336.54961,42536.66913,43562.07675,44369.78516,44985.99375,45466.18,45856.59176,46149.28391,46361.54883
Salford,7214.604568,8990.182699,11689.47514,15232.50921,19790.58851,26267.37198,33489.6557,41012.09168,48217.05508,55170.66817,61745.19855,68289.73767,75111.74264,82087.9716,88610.03394,94677.96457,100114.7237,105014.9829,109246.1482,112787.7511,115759.6301,118154.3404,120120.5071,121664.3497,122766.3364,123586.4373,124240.4455,124738.2681
Sefton,0.194641606,0.242890108,0.313952191,0.404726312,0.518832572,0.681129411,0.862455983,1.053402261,1.238044464,1.417269031,1.587609833,1.757870277,1.93951504,2.126058654,2.301145423,2.464625529,2.612398165,2.746650836,2.86455297,2.966767095,3.055314938,3.130877092,3.162431509,3.188561358,3.2118601,3.23300695,3.251486128,3.267151511
South Lakeland,4547.528499,5641.990325,7319.669897,9571.133723,12542.65746,16770.75555,21510.06266,26510.57495,31352.37526,36061.94347,40546.28324,45028.78255,49828.26427,54757.32529,59388.19112,63715.41998,67632.79102,71195.91733,74331.70509,77036.236,79305.1324,81221.945,82806.13806,84095.49078,85142.32574,85953.98754,86584.78366,87069.48349
