Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Lancaster,130.5335856,218.7969932,266.2539712,334.2567382,427.6025368,521.8841756,677.5419263,1062.660974,1449.592172,1836.815837,2224.079175,2615.942724,2950.993295,3292.018101,3673.695356,4040.413116,4403.730346,4723.713191,4997.866184,5279.892705,5586.321182,5764.819064,5755.071741,5775.388727,5797.712023,5824.006528,5846.383499,5841.789133
Manchester,423.4336137,696.6945799,831.9460537,1024.514418,1285.233989,1538.285796,1964.237962,3030.345494,4066.01749,5068.656716,6038.173075,6986.243018,7749.292909,8497.750711,9318.793989,10067.76458,10771.89332,11335.47791,11758.81101,12172.44038,12611.87618,12744.59037,12449.41318,12217.83668,11987.55666,11762.26353,11525.84031,11234.52585
Northumberland,0.008664959,0.014480724,0.01756833,0.02197848,0.028004986,0.034055717,0.044060597,0.068868803,0.093622226,0.118314693,0.142952281,0.167818503,0.188926579,0.210369378,0.234435103,0.257578673,0.280394609,0.300329676,0.317266058,0.334646243,0.353490094,0.364247836,0.363059136,0.363761258,0.364581134,0.365641851,0.36644804,0.365558569
Oldham,140.7794575,231.3692993,275.7809373,338.9850459,424.4063665,507.0045782,644.2815247,988.9202134,1319.83649,1636.758257,1940.082451,2233.576209,2464.918112,2689.245201,2934.783701,3156.064298,3360.579116,3518.416519,3630.317592,3737.051958,3849.18825,3865.065405,3750.368065,3654.531063,3558.622666,3463.690558,3364.95954,3249.823645
Pendle,61.52718003,102.4853809,123.7474185,154.262746,195.9914679,237.7016449,306.7943813,478.5991901,649.5408633,819.6392589,989.192396,1160.193006,1305.124219,1452.467874,1618.027249,1777.45388,1934.928013,2072.73481,2190.07161,2310.774911,2441.807517,2517.153652,2510.173742,2516.415842,2523.620522,2532.634705,2540.021712,2535.774956
Preston,125.0751187,207.7995705,250.6088869,311.7419662,395.1093318,477.8865268,614.9146808,955.9600249,1292.700094,1624.5338,1951.613122,2277.617967,2548.883625,2820.919003,3123.478861,3408.975591,3686.114232,3921.983483,4115.822119,4312.581673,4525.363706,4630.961097,4584.288512,4561.479494,4539.956323,4521.205845,4499.078782,4456.071132
Ribble Valley,65.90265108,110.4881668,134.4003622,168.5688883,215.3994153,262.6240244,340.687107,534.0613918,728.0596842,922.6133986,1117.951357,1315.988072,1485.445913,1658.180618,1852.468154,2040.498897,2226.633805,2390.383452,2530.771489,2675.261658,2832.019882,2925.155926,2922.278853,2934.648341,2948.02986,2963.425651,2976.823367,2976.472998
Richmondshire,0.127372876,0.213340888,0.259400332,0.32519619,0.415312225,0.506168291,0.6563679,1.028194744,1.400751971,1.773604123,2.147223969,2.525850952,2.849003198,3.178112518,3.54826515,3.905991749,4.26001314,4.571069428,4.83732686,5.111276986,5.408430965,5.583233394,5.574936128,5.59567932,5.61829411,5.644689758,5.667224543,5.663549647
Rochdale,134.9834355,225.8735501,274.157967,343.2863997,437.9895102,533.3716574,691.1116651,1081.955308,1473.318676,1864.995487,2257.517845,2655.41169,2995.3331,3342.010594,3731.969007,4109.263797,4483.029922,4812.067404,5094.026339,5384.02369,5698.522269,5885.100959,5878.448284,5902.464574,5928.505901,5958.582209,5984.621153,5983.002056
Rossendale,57.66700888,95.95965016,115.7762165,144.1460611,182.8832568,221.4818439,285.3871322,444.3719518,601.8226358,757.6931855,912.215533,1067.15359,1197.175968,1328.519411,1475.499475,1615.87175,1753.250772,1871.705957,1970.686966,2071.634564,2180.828481,2239.887846,2225.140694,2221.995632,2219.535271,2218.492743,2215.851744,2202.937743
Salford,180.0754366,298.614593,359.2330622,445.5144439,562.7208977,678.1503465,869.447931,1346.527412,1813.454242,2269.323519,2714.397077,3153.872428,3513.000235,3868.685674,4261.485362,4625.857273,4973.128622,5258.234911,5480.533208,5700.212295,5934.161144,6028.212612,5919.348939,5840.385784,5761.879794,5685.643754,5603.904248,5495.182492
Sefton,0.002606406,0.004351591,0.005271995,0.006590595,0.008397417,0.010210976,0.013210971,0.020654065,0.028088531,0.03549581,0.042880503,0.050331227,0.056667805,0.063104907,0.070313667,0.077233336,0.084071413,0.090071152,0.095196452,0.100473027,0.106212773,0.109480951,0.109188353,0.109468149,0.109787281,0.110182729,0.110505101,0.110319168
South Lakeland,173.6090169,290.8236159,353.672572,443.4471991,566.4098241,690.4059176,895.385315,1402.769601,1911.245986,2420.211366,2930.261802,3447.175991,3888.44248,4337.875525,4843.312672,5331.755296,5815.194127,6240.050884,6603.793832,6978.073587,7384.059237,7622.922987,7611.83219,7640.379512,7671.471538,7707.71614,7738.679369,7733.842988
South Ribble,73.10526308,122.5161585,149.0701038,186.960564,238.8013004,291.0500347,377.4405926,591.3445664,805.8796384,1020.851744,1236.443995,1455.14173,1642.124222,1833.151364,2048.088446,2255.925857,2461.802456,2643.205617,2798.912386,2959.070934,3132.76697,3235.661623,3232.435823,3245.984338,3260.566211,3277.293874,3291.733716,3290.898912
St. Helens,29.35542898,49.15227679,59.7276263,74.85024611,95.55487158,116.4244275,150.9257532,236.4112977,322.0937507,407.9691954,494.1269829,581.5656513,656.4076025,732.7993228,818.7382548,901.9976761,984.6207721,1057.564449,1120.283545,1184.904905,1255.067877,1296.89604,1296.265657,1302.39598,1308.976902,1316.454536,1323.047102,1323.528702
Staffordshire Moorlands,0.008703127,0.014632296,0.017864894,0.022477461,0.028796306,0.035206115,0.04579606,0.071948711,0.098293701,0.124818898,0.151554727,0.178774603,0.20218237,0.226149395,0.253127041,0.279360316,0.305445883,0.328562313,0.348546112,0.369159313,0.391546338,0.405129886,0.405446393,0.407864832,0.410415156,0.413238456,0.415776258,0.416384016
Stockport,190.1548098,313.8804792,375.8078081,464.129573,584.044134,701.4298022,896.4732981,1384.099962,1858.329905,2318.981305,2766.78951,3207.52153,3565.177229,3919.381773,4311.581829,4675.945669,5023.370748,5308.846917,5532.269884,5754.957716,5993.836294,6087.72797,5979.332422,5901.734773,5825.193437,5751.536894,5672.896864,5567.496596
Tameside,141.2811416,232.2670814,276.7451169,340.3611039,426.6462432,510.448591,649.7628806,999.2713671,1336.614986,1661.847283,1975.588686,2281.770277,2526.921973,2767.442911,3032.609601,3275.782114,3504.87508,3688.574931,3827.225022,3963.538062,4108.989542,4154.432657,4061.092477,3988.818578,3917.280234,3847.666274,3774.686763,3683.963238
Trafford,176.8426956,292.3663125,350.6730772,433.7198257,546.3297911,656.7572467,839.8464705,1297.189499,1742.351938,2175.542693,2596.731803,3011.574909,3348.136562,3681.317047,4050.787101,4394.190972,4721.529152,4990.293789,5200.55011,5410.079092,5634.544114,5721.978568,5619.123693,5544.907436,5471.382334,5400.271061,5324.191324,5222.726015
Warrington,19.01342349,31.78216774,38.55652603,48.24178759,61.49185814,74.81232973,96.84629547,151.4770586,206.0891373,260.6699819,315.3149497,370.6362893,417.813739,465.954798,520.0883445,572.4307598,624.2725189,669.8957362,709.0020163,749.2621361,792.9629517,818.6514979,817.5497707,820.7148773,824.1628243,828.1734693,831.6253695,831.2377581
West Lancashire,77.89179635,128.2597902,153.2202572,188.8236442,237.1132753,284.0932462,362.0876982,557.5198204,746.5368683,928.712537,1104.208635,1275.288492,1412.393784,1546.742199,1694.427964,1829.355379,1956.618264,2058.98132,2136.675354,2213.403736,2295.701541,2321.051111,2269.567734,2229.980647,2190.940054,2153.11991,2113.568103,2064.232054
Wigan,188.0274083,313.5290805,379.2822297,473.3451577,601.8961167,730.5106596,943.4011178,1472.157334,1998.383836,2522.02455,3043.806287,3569.833567,4015.3213,4467.375873,4974.462384,5461.883887,5941.974505,6360.464371,6714.844813,7078.024196,7471.546167,7694.716721,7665.086165,7675.450711,7688.33888,7706.330338,7718.972317,7695.925506
Wyre,96.87086668,161.9362842,196.3379316,245.6483082,313.3091832,381.4727675,494.1762123,773.5806444,1053.338706,1333.162899,1613.612627,1897.839676,2140.580504,2388.043313,2666.129893,2934.674495,3200.203631,3433.637609,3633.201004,3838.380984,4060.834529,4192.7409,4186.820826,4202.885655,4220.524161,4241.163183,4259.053987,4257.387465
