Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Manchester,423.4336137,696.6751563,818.6467086,960.0991426,1180.741688,1400.931607,1571.239913,1735.214066,1890.027302,2038.449924,2178.89586,2537.726852,3469.28186,4356.937979,5252.41197,6082.601939,6857.292183,7525.544962,8100.03693,8627.816976,9158.549259,9583.407612,9997.224539,10442.36578,10868.40306,11273.64577,11486.10936,11195.7991
Northumberland,0.008664959,0.01448032,0.017287485,0.020596606,0.02572812,0.031014867,0.035245103,0.039435145,0.043518889,0.047582346,0.05158483,0.060959448,0.084580563,0.107859875,0.13213617,0.155620299,0.178496732,0.199386783,0.218548184,0.237197016,0.256699034,0.273899387,0.291546569,0.31090022,0.330543982,0.350452674,0.365184849,0.364298445
Oldham,140.7794575,231.3628488,271.3723511,317.6717147,389.9012115,461.7339251,515.3758691,566.2681919,613.5062151,658.2512748,700.0855335,811.3382696,1103.519481,1378.820696,1654.151069,1906.787019,2139.314994,2335.85226,2500.738088,2648.819736,2795.220925,2906.370165,3011.649714,3123.462124,3226.391045,3319.804925,3353.360122,3238.621114
Pendle,61.52718003,102.4825237,121.7692137,144.5636368,180.0569379,216.4771646,245.4120052,274.051935,301.9293371,329.6324211,356.9535337,421.4358042,584.2912159,744.7044115,911.9791359,1073.877357,1231.75809,1376.074227,1508.627097,1637.875593,1773.202822,1892.795984,2015.739229,2150.735467,2288.016297,2427.426188,2531.265953,2527.033836
Preston,125.0751187,207.7937771,246.6026968,292.1415152,362.9860891,435.2158369,491.8846435,547.3947721,600.8922677,653.3349933,704.2464168,827.3362747,1141.110012,1446.332042,1760.506539,2059.587446,2346.547775,2603.777562,2835.177053,3056.754783,3286.249075,3482.292214,3681.310993,3898.614675,4116.107776,4333.389828,4483.56992,4440.710522
Ribble Valley,65.90265108,110.4850865,132.2518614,157.9702953,197.8869772,239.1742143,272.5235897,305.8102914,338.4276344,371.0452922,403.4166547,478.0277837,665.0194566,850.1767534,1044.118576,1232.800236,1417.455421,1586.958952,1743.317628,1896.223536,2056.569001,2199.596908,2346.671078,2508.191279,2672.802945,2840.321589,2966.561901,2966.21274
Richmondshire,0.127372876,0.21333494,0.255253603,0.304749819,0.381546443,0.46097231,0.525044044,0.588757284,0.651118564,0.713286259,0.774833274,0.917505986,1.275470579,1.629471091,1.999931576,2.359867755,2.711886752,3.034701207,3.332184365,3.622869446,3.927518849,4.198361802,4.476828543,4.782526709,5.093772368,5.410202946,5.64768894,5.644026714
Rochdale,134.9834355,225.8672528,269.7753253,321.7026254,402.3800163,485.7466768,552.8363944,619.5412608,684.8501094,750.0409126,814.6332054,964.5684426,1340.98103,1713.504359,2103.473766,2482.677832,2853.857267,3194.698087,3509.011364,3816.192114,4138.178664,4425.353792,4720.557233,5044.730561,5375.022907,5711.055948,5963.991448,5962.377931
Rossendale,57.66700888,95.95697482,113.925438,135.0830279,168.0144527,201.7056365,228.2878457,254.4529865,279.7482341,304.7197123,329.1761637,387.6395814,535.9638508,681.1539756,831.6452871,976.2549134,1116.103962,1242.61257,1357.504359,1468.373087,1583.683886,1684.303505,1786.849776,1899.099796,2012.320326,2126.334039,2208.213438,2195.343952
Salford,180.0754366,298.6062677,353.4904249,417.5031879,516.9704723,617.5980155,695.4917469,771.0385857,842.9570302,912.6485799,979.4996732,1145.632456,1572.735491,1983.539423,2401.928485,2794.786091,3165.849772,3490.905592,3775.255962,4040.306368,4309.295966,4532.967867,4753.401594,4991.672932,5223.952949,5449.455667,5584.58692,5476.23994
Sefton,0.002606406,0.00435147,0.005187718,0.006176218,0.007714688,0.009299234,0.010567765,0.011826778,0.013056533,0.014275268,0.015473579,0.018282631,0.025369616,0.032354934,0.039631346,0.046661762,0.053519119,0.059797612,0.065575914,0.071215209,0.077130072,0.082325171,0.08768128,0.093560463,0.099537584,0.105605614,0.110124177,0.109938885
South Lakeland,173.6090169,290.8155078,348.0188237,415.565919,520.359481,628.7592814,716.2396672,803.2435729,888.4140569,973.330796,1057.395214,1252.173887,1740.817274,2224.100855,2729.867564,3221.265738,3701.901238,4142.72639,4549.012129,4946.053531,5362.189518,5732.124458,6112.51265,6530.095273,6955.265954,7387.528873,7712.003215,7707.183505
South Ribble,73.10526308,122.5127428,146.6870951,175.2056136,219.3862385,265.0620541,301.9235629,338.61136,374.601074,410.5535799,446.1751375,528.5748338,735.1627874,939.8871617,1154.377303,1362.953899,1567.161708,1754.805829,1928.026028,2097.387346,2274.966881,2433.084417,2595.735739,2774.284569,2956.161024,3141.151371,3280.386715,3279.554789
St. Helens,29.35542898,49.15090644,58.77283084,70.14411495,87.78605397,106.0288412,120.729042,135.3720919,149.7204535,164.0720258,178.3074489,211.2515647,293.8671973,375.7183883,461.4707241,544.9564071,626.8008901,702.1096833,771.7054109,839.8597429,911.4108648,975.2124643,1040.937323,1113.134474,1186.77133,1261.767522,1318.4864,1318.96634
Staffordshire Moorlands,0.008703127,0.014631889,0.017579309,0.021064215,0.026455104,0.032062546,0.03663334,0.041198739,0.045690354,0.050198127,0.054689053,0.064939211,0.090515049,0.115950552,0.142671627,0.168780029,0.194444152,0.218130235,0.240095395,0.261659855,0.28433489,0.304641006,0.325584714,0.348594753,0.372098957,0.396072062,0.414343028,0.414948691
Stockport,190.1548098,313.8717283,369.8002097,434.9479102,536.5600835,638.7988387,717.1099704,792.5531023,863.8168097,932.6193367,998.4056655,1165.120293,1596.094615,2009.532155,2430.164679,2825.047802,3197.833466,3524.506551,3810.894683,4079.109883,4352.631137,4577.720968,4801.569997,5044.106812,5281.355655,5512.611531,5653.341709,5548.304769
Tameside,141.2811416,232.2606058,272.3211176,318.9612545,391.9589814,464.8704206,519.760534,572.1953931,621.3054475,668.3412702,712.8980829,828.8445859,1131.277997,1418.913961,1709.289312,1979.116464,2231.17253,2448.819247,2636.377435,2809.352923,2983.884602,3123.962433,3261.170046,3409.171665,3551.564483,3687.829855,3761.674966,3671.264175
Trafford,176.8426956,292.3581614,345.0672783,406.4501441,501.9119982,598.1151146,671.8128458,742.7870746,809.9061897,874.9329626,937.0397475,1093.943411,1498.927654,1887.472415,2283.171265,2654.821169,3005.683771,3313.021345,3582.390082,3834.660163,4091.718718,4302.692465,4512.312384,4739.13289,4960.576219,5175.937679,5305.838199,5204.722653
Warrington,19.01342349,31.78128167,37.9401681,45.20863551,56.49243716,68.1323052,77.46961815,86.73767497,95.79744725,104.8330424,113.7825017,134.6322568,187.0510823,238.9027667,293.1407486,345.8432526,397.4063737,444.7391209,488.3948309,531.0764624,575.8374211,615.5922449,656.5151714,701.4502792,747.2193052,793.7702046,828.7586574,828.3723821
West Lancashire,77.89179635,128.2562144,150.7709048,176.9515545,217.8354535,258.7264402,289.6424234,319.2428837,347.0164765,373.4981685,398.4575457,463.2438122,632.3147402,793.0404245,955.041364,1105.234483,1245.565911,1366.943381,1471.845177,1568.858974,1667.102923,1745.334941,1822.525923,1905.924445,1986.394747,2063.676867,2106.282381,2057.116399
Wigan,188.0274083,313.5203394,373.2190899,443.5840747,552.9606614,665.2830541,754.6486316,842.9758642,928.9187808,1014.276768,1098.368138,1296.728797,1797.619668,2290.497835,2803.788323,3299.88502,3782.608507,4222.668066,4625.509407,5016.898451,5425.721173,5786.110392,6155.277071,6560.069998,6970.558569,7386.200639,7692.364094,7669.396729
Wyre,96.87086668,161.9317694,193.1993075,230.2034271,287.8364694,347.4109029,395.303117,442.9620376,489.6287136,536.1550331,582.2777566,689.3832198,958.3167392,1224.389484,1502.72799,1773.030809,2037.221376,2279.568132,2502.724321,2720.641676,2948.915177,3152.768656,3362.133402,3592.130955,3826.497675,4064.980456,4244.372518,4242.711741
