Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Manchester,2092185.728,2305031.298,2488850.836,2692379.886,2811992.651,2913816.766,3025983.378,3131656.975,3240585.893,3339996.193,3477263.777,3592931.903,3794895.939,3970910.927,4101792.12,4217458.717,4317489.823,4406415.18,4484265.224,4549907.582,4605813.415,4656556.215,4703414.615,4744917.815,4781045.536,4812096.656,4835948.111,4823710.748
Northumberland,11.06235539,11.90794602,12.48070906,13.31658128,14.10404735,14.54589977,15.11275845,15.79131219,16.3277501,16.93795286,17.81833597,19.04357392,20.76033547,22.26408396,23.12801529,23.89891255,24.57488568,25.26793152,25.77329714,26.16497718,26.48334016,26.76865569,27.0224771,27.27832026,27.50522652,27.71507836,27.87939763,27.738435
Oldham,909684.2336,1016460.791,1100502.512,1185115.091,1238330.508,1280004.588,1321870.938,1367789.44,1414105.865,1455513.192,1495801.594,1544212.278,1616581.389,1683003.777,1743856.564,1799349.171,1848176.181,1891155.558,1928824.237,1960843.04,1988122.052,2012910.625,2035577.619,2056019.747,2073842.457,2089015.566,2100939.82,2097290.904
Pendle,322764.0885,346209.1951,362290.6877,373573.7045,384445.8025,396195.315,413655.9101,426380.5473,438144.6372,449832.7497,477021.3749,492371.3124,535275.7568,565619.4505,588477.1235,612976.1945,631753.9491,649161.5098,663501.6836,676139.0642,686855.3981,696787.1966,706057.8913,714806.6204,722842.5716,730130.4308,736194.8336,732664.0305
Preston,575273.7937,639169.26,678791.914,721306.8917,782091.3827,818040.7033,846843.5818,878185.1653,911458.4978,942568.0844,985742.4289,1017066.299,1075964.311,1122504.698,1164669.701,1204867.58,1238992.435,1269249.081,1295646.841,1318144.138,1337651.373,1355297.951,1371711.226,1387052.087,1401121.903,1413856.871,1424476.145,1419556.604
Ribble Valley,224867.7233,243987.0223,256454.9686,267043.0304,279864.6508,289729.6188,301303.898,311079.7313,320653.2677,329896.8794,348144.891,359089.172,386607.4814,406522.9137,422309.0597,438655.2646,451508.3366,463456.6174,473465.2212,482186.6406,489627.6937,496462.0344,502828.1704,508813.6255,514303.7296,519274.26,523405.3986,521109.5539
Richmondshire,283.7363289,305.4247282,320.1154225,341.554556,361.7521292,373.0851209,387.6243754,405.0284763,418.7874739,434.4384529,457.0192382,488.4451421,532.4780451,571.0474147,593.2062314,612.9788342,630.3167451,648.092551,661.0545813,671.100711,679.2663449,686.5843506,693.0945695,699.656644,705.4765211,710.8589724,715.0735674,711.4580426
Rochdale,760713.5624,842190.0236,906219.5971,968621.5336,1029123.744,1088444.119,1151729.435,1206050.52,1260689.696,1314834.137,1369140.793,1430974.813,1520473.546,1605125.078,1686521.733,1762915.356,1833418.284,1879411.479,1920715.409,1956437.803,1987845.104,2017135.183,2044815.079,2070901.043,2095093.708,2117254.891,2136226.478,2131232.993
Rossendale,308310.0385,331230.3801,347150.7635,358715.2725,370003.4813,382127.3144,399522.8822,412352.5071,424330.9909,436241.6702,462151.6006,477553.3153,518519.6896,548030.7246,570717.968,594770.3778,613526.0177,630347.7705,644291.236,656566.5257,667008.319,676694.7017,685749.9565,694300.7857,702167.2261,709314.241,715281.7532,711966.4657
Salford,947353.9361,1018159.488,1072957.604,1159833.449,1228233.275,1273520.65,1322172.893,1373611.73,1432109.866,1490080.943,1555729.637,1644222.91,1761211.391,1847282.637,1921636.569,1986783.875,2041825.9,2090956.211,2134437.797,2171401.286,2203039.104,2231760.919,2258275.345,2281483.268,2302409.135,2320892.874,2336090.371,2331122.568
