Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Manchester,2092185.728,2225425.868,2382128.814,2585582.608,2696747.035,2805843.401,2935158.952,3129821.065,3332719.848,3486677.591,3621869.68,3751453.308,3883690.65,4008181.622,4123627.642,4225812.506,4313808.206,4390095.973,4454546.385,4508204.26,4552685.645,4589815.989,4591189.392,4588303.182,4581479.947,4572409.412,4560951.022,4546826.901
Northumberland,11.06235539,11.53402148,11.99558605,13.17006078,14.40967978,15.09854234,15.71461872,16.66893737,18.43964916,19.27286775,20.19521872,21.01092834,21.8739264,22.67116867,23.42283297,24.11506757,24.7198457,25.24920716,25.66963242,25.99565185,26.26855447,26.48795272,26.42149006,26.3357188,26.22941899,26.1139185,25.9821748,25.83301594
Oldham,909684.2336,977978.2798,1049393.147,1127110.855,1175273.253,1218116.763,1266126.733,1333956.931,1403226.234,1468902.649,1529815.092,1591021.564,1653481.591,1712571.261,1767127.015,1815986.696,1858324.77,1894656.722,1925236.153,1950799.341,1971950.035,1989735.657,1991435.213,1991663.33,1990153.666,1987671.582,1984145.329,1979328.233
Pendle,322764.0885,335182.0422,347194.6482,356046.4127,377548.4659,388740.957,405954.2399,428413.0481,452221.1685,494681.6853,523162.2734,545206.7169,574189.8531,595976.1401,616335.2314,635186.8017,652081.8558,666496.0159,678902.8826,689668.5949,698865.8488,706792.1499,705212.6088,703165.4853,700571.8703,697701.7342,694439.5051,690642.8123
Preston,575273.7937,614084.5283,645851.6286,693316.2033,762782.6782,806351.8033,840176.3409,894492.1867,943644.6016,995627.8677,1042436.436,1084881.334,1129067.37,1169794.175,1207895.687,1242669.174,1273105.618,1300288.934,1322321.385,1341078.862,1357104.491,1370454.013,1368860.508,1366460.927,1362992.426,1358923.26,1354117.91,1348366.592
Ribble Valley,224867.7233,235637.7641,245208.9144,255326.7657,274386.082,284986.0841,297091.1275,314358.7307,331546.336,357994.4102,377091.1008,392546.2566,411525.9617,426619.4743,440706.6791,453675.0686,465177.0652,475325.4806,483876.7955,491247.9674,497539.7613,502895.6396,501933.758,500652.2572,498979.843,497101.7449,494946.7531,492422.4095
Richmondshire,283.7363289,295.8340059,307.6725913,337.7964786,369.5912395,387.2597491,403.0613796,427.5385238,472.9551865,494.3262576,517.9834688,538.9054555,561.0403349,581.488656,600.767956,618.5229545,634.0347981,647.6122934,658.3957038,666.7577166,673.7573459,679.3846516,677.6799629,675.4800315,672.7535672,669.7911163,666.4120463,662.5862978
Rochdale,760713.5624,808829.5082,861321.0382,920558.2813,979621.3911,1041205.826,1108415.414,1188686.118,1271149.899,1353134.715,1434067.585,1514017.474,1595355.594,1675380.106,1751991.153,1823145.867,1888453.127,1929529.564,1964699.474,1995008.294,2021229.546,2044069.618,2043995.811,2042571.056,2039633.676,2035899.676,2031140.154,2024991.345
Rossendale,308310.0385,320523.4416,332506.2848,341826.6735,362694.3131,374387.3898,391637.9866,413891.5446,437427.913,477798.8871,505545.4992,527452.8794,555658.5266,577349.301,597678.7063,616520.7807,633463.4803,647477.134,659537.9362,670003.8714,678959.1096,686687.4586,685248.8977,683357.2872,680936.8377,678248.2699,675181.6949,671599.3564
Salford,947353.9361,986815.7962,1035647.799,1124130.833,1201909.081,1244738.995,1301089.642,1384775.397,1464155.813,1552907.204,1626318.321,1698922.967,1774013.456,1844541.47,1908976.401,1965412.211,2014342.484,2056806.833,2093054.558,2123635.854,2149351.876,2171306.975,2173429.644,2173409.582,2171644.452,2169027.443,2164976.199,2159675.419
