Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Bentham,181.9794479,247.2043003,330.7004516,433.7040246,561.6709524,744.8237677,966.5640066,1207.455672,1445.406296,1682.12433,1913.454066,2138.139591,2383.717438,2624.401695,2852.775061,3067.618149,3265.043606,3447.153027,3605.06287,3744.192076,3866.154802,3972.643836,4063.586656,4133.777621,4192.795077,4230.3498,4258.286756,4283.426891
Bispham,752.9098471,1028.939403,1388.925424,1840.406757,2404.009059,3204.833388,4165.223755,5189.607781,6185.715523,7168.196512,8121.114976,9040.551876,10014.99325,10961.72814,11855.40738,12692.32591,13456.6555,14157.40438,14758.06921,15281.94524,15735.66355,16127.53902,16450.80808,16684.46515,16880.42011,17037.46691,17165.05736,17266.96644
Blackbull,745.9880291,1005.673151,1338.909151,1742.016897,2230.063904,2926.371412,3763.823927,4656.84682,5525.08261,6380.195867,7208.571061,8006.973712,8840.711341,9648.770997,10410.34925,11122.3912,11771.35177,12364.9338,12871.47276,13310.87298,13678.89454,13995.29054,14260.10796,14450.71535,14586.96611,14697.23111,14781.99126,14846.17898
Blackburn,463.8473532,639.6875371,845.6009932,1068.622905,1308.942803,1652.960758,2069.65402,2520.749782,2964.877177,3405.630678,3835.555187,4252.444402,4708.106539,5154.250813,5577.359372,5975.262548,6340.43458,6677.046048,6967.967276,7164.255539,7298.600631,7414.82567,7508.034406,7570.391821,7625.887273,7674.986602,7719.973523,7760.832336
Blackburn Rd Clayton,496.5715445,680.8244459,911.8665686,1184.567621,1506.945095,1969.780506,2530.306805,3134.784709,3728.207505,4315.49776,4886.860803,5439.637641,6035.354298,6616.382288,7166.236971,7682.322903,8155.028753,8589.65958,8964.102501,9292.200413,9577.915357,9825.636412,10007.06116,10094.67152,10165.51663,10227.66752,10284.4255,10335.88753
Blackfriars,233.9302535,320.752693,420.1922954,524.8331083,633.2904515,786.2704472,969.1059394,1163.530241,1351.963355,1537.771949,1718.030284,1891.981758,2076.08931,2255.19552,2424.31265,2582.724054,2717.789608,2835.273965,2935.324131,3022.532345,3068.46861,3097.176257,3121.257368,3138.48053,3154.219231,3165.811839,3176.228589,3186.452418
Blackley,550.18884,748.5983139,998.1362719,1295.199694,1648.462711,2149.949458,2750.714728,3389.006134,4007.534956,4616.247117,5205.548574,5773.20158,6367.222505,6942.928951,7485.474275,7992.759347,8444.42933,8850.474486,9196.453486,9496.988467,9756.077211,9978.822074,10146.01719,10259.93119,10355.04978,10431.19413,10494.33689,10540.9554
Blackpool,109.9365943,151.2878216,199.5185521,252.0814622,308.9319994,389.2921744,485.5443052,588.4437878,688.6344085,787.693708,884.008562,977.1382169,1077.087982,1174.582609,1266.808958,1353.345581,1432.513427,1500.918805,1556.904436,1605.904778,1646.674286,1667.447356,1684.674808,1695.917364,1706.142043,1714.999828,1722.963898,1730.364051
Bollington,573.2460824,765.1938,1003.168305,1282.534259,1613.214271,2082.037462,2644.254011,3245.256954,3830.659956,4409.057791,4971.005501,5514.015015,6082.480206,6635.195006,7156.864155,7645.160084,8090.858105,8499.183535,8848.483923,9152.47196,9414.942536,9634.056857,9809.313521,9929.723496,10016.32921,10069.3492,10118.48979,10163.73591
Bolton By Bowland,95.3563125,127.4371595,168.1609057,217.3974901,277.7330439,364.4313105,469.7930023,584.7272621,698.6422851,812.0998951,923.0922584,1030.995976,1148.236828,1263.167304,1372.221505,1474.793557,1569.023359,1655.92318,1731.230582,1797.51531,1855.549718,1906.158859,1949.314273,1982.507882,2008.535492,2023.774321,2037.623818,2050.061003
Bolton Le Sands,708.6802624,960.5900186,1282.058516,1676.803411,2163.147705,2853.689204,3682.729264,4571.429411,5439.322111,6298.008535,7133.181773,7940.994608,8803.128524,9643.423923,10437.94632,11183.04736,11864.92573,12491.22702,13029.94697,13501.27087,13910.92458,14265.80213,14565.93015,14795.95525,14982.44536,15113.18286,15199.54788,15270.69544
Botany Bay,399.881173,542.0467994,726.627287,953.9626503,1234.434617,1636.108584,2121.224313,2642.562221,3152.906355,3657.35132,4147.551435,4621.32695,5125.936438,5617.113013,6081.302965,6516.409493,6914.37169,7279.638275,7593.524305,7867.830806,8105.923342,8311.871542,8485.709018,8618.134374,8711.997211,8789.249194,8846.58268,8891.934245
Bow Lane,945.1404841,1283.772913,1723.208745,2264.404606,2930.690431,3882.626713,5029.370086,6256.630871,7453.70237,8634.836236,9780.82878,10886.89627,12057.62832,13195.16385,14269.02823,15274.6528,16193.23774,17035.2568,17757.01273,18386.3895,18931.23681,19401.3689,19796.91141,20099.54155,20329.23901,20483.87914,20603.79574,20698.27613
Bowaters,9.236172535,12.88077349,17.20294521,21.9865816,27.26182471,34.8284436,44.00704223,53.96492046,63.78847407,73.54514099,83.067944,92.30706737,102.517904,112.5279725,122.0302139,130.9752836,139.1977127,146.7869501,153.3652057,159.1655621,163.0520603,165.1943565,167.10176,168.5327936,169.8242643,170.9656772,172.0090798,172.9539797
Bowdon,1053.46364,1391.758265,1799.381688,2251.213336,2753.960714,3465.868928,4317.353581,5218.437,6088.256812,6942.567006,7768.363472,8562.715148,9360.975895,10130.86281,10853.69209,11526.81329,12136.89517,12691.81799,13159.54297,13541.84471,13860.19815,14101.26637,14242.19644,14302.33531,14355.42211,14402.08351,14446.25593,14488.442
Bradford,250.6702436,346.7534865,459.207542,581.4342826,712.8581655,898.9515473,1121.882771,1359.326784,1589.835972,1817.129923,2037.60255,2250.336962,2477.428676,2698.413652,2903.232222,3084.799858,3250.742526,3403.177206,3533.53494,3621.506174,3686.787741,3744.219623,3793.447915,3828.770074,3857.92283,3882.599408,3902.451101,3916.612842
Bradshawgate,217.4130716,296.4024674,389.0233601,489.1218413,596.548191,749.1454896,932.4733164,1128.281359,1318.828845,1506.8468,1689.336049,1865.517421,2051.777216,2232.937473,2404.003265,2563.64757,2677.582921,2780.244544,2867.425082,2943.579939,3009.920588,3067.688273,3116.719844,3153.91219,3185.294056,3211.273734,3229.152217,3242.355495
Bramhall,945.2124968,1255.844331,1639.375707,2080.594604,2590.672197,3314.420296,4181.337292,5101.257162,5991.540707,6867.01233,7714.078019,8529.597803,9361.8124,10166.11982,10922.46589,11627.96617,12268.87001,12853.20392,13348.31645,13775.33375,14139.91273,14447.6504,14665.17842,14770.5653,14848.79632,14912.1912,14968.0999,15017.03601
Bridgewater,59.76409393,81.80615521,107.8040998,136.6939076,168.6221319,213.33874,266.3936773,322.3507511,376.1990759,429.1610065,480.4178478,529.7765697,581.3592645,631.3838961,678.521553,722.5955163,762.7442797,799.4653553,830.7284625,857.5931919,873.7501289,881.8058443,888.3155031,892.8364146,896.8543014,900.3939164,902.9473637,905.4984512
Brinksway,470.0075577,631.5463297,821.6057005,1033.461199,1270.730274,1602.751029,1997.314275,2416.844137,2823.366802,3225.237076,3615.926428,3993.653629,4389.689936,4775.342456,5139.499363,5480.524451,5791.849597,6077.268108,6321.345578,6517.74464,6664.481107,6791.512685,6867.834969,6906.265996,6936.657948,6964.654586,6991.479488,7017.322028
Broadheath,1301.27648,1744.729148,2291.114402,2917.87802,3638.535854,4663.611905,5893.989746,7202.332686,8470.950097,9719.151161,10927.42472,12091.19387,13292.21847,14454.61035,15548.88668,16570.77326,17500.46899,18349.40687,19070.85389,19650.09468,20133.03156,20527.48881,20814.22783,21024.93779,21171.49754,21281.92943,21364.46645,21440.27973
Broadway,506.3067802,695.2805098,940.834652,1249.930407,1637.216339,2185.62431,2841.675391,3540.601766,4219.567385,4889.462306,5539.385844,6166.63199,6834.031281,7483.007479,8095.861249,8670.045811,9194.835894,9676.222426,10089.36186,10450.19223,10763.18681,11033.89511,11255.86404,11420.97025,11559.33753,11669.74482,11761.15738,11822.83693
Buckshaw,354.374631,479.3737194,639.9069176,834.9082521,1072.156646,1410.959484,1818.99152,2255.484181,2681.058077,3100.895283,3508.194386,3901.262106,4315.710391,4718.252736,5098.143117,5453.769092,5778.457472,6075.939575,6330.656589,6552.541853,6744.373187,6909.668581,7048.463241,7153.284086,7229.420477,7277.327673,7310.605856,7341.458691
Burnley,500.6862084,685.1415182,925.2799534,1223.594136,1592.438079,2117.627585,2748.151955,3419.922001,4072.572511,4715.452422,5338.272279,5938.596247,6572.293071,7187.12797,7767.067849,8309.804526,8805.064973,9258.664101,9646.789097,9984.765246,10276.88964,10528.63443,10727.24809,10871.31916,10991.82759,11089.29444,11166.71706,11227.95487
Burnley Centre,257.7499647,354.3790272,478.5065168,629.9955385,814.2272946,1077.235771,1393.797768,1732.102534,2061.654269,2386.61011,2701.722009,3005.705155,3328.974098,3643.070324,3939.626004,4217.408753,4471.175685,4703.874644,4903.394574,5077.480236,5228.313224,5358.544414,5455.591968,5517.960096,5570.932777,5613.149129,5648.429842,5678.607108
Burnley North,220.1596545,302.3665592,408.7549612,539.1022088,697.8534573,924.2901939,1196.328619,1485.605363,1766.188085,2042.100486,2309.005116,2565.927869,2835.945893,3097.47211,3343.9256,3574.380875,3784.434823,3976.593366,4140.630172,4283.180386,4406.082238,4511.707887,4594.450257,4654.073691,4703.481546,4734.461876,4755.564335,4774.406063
Burrow Beck,652.1050114,885.0527205,1181.497991,1542.510316,1983.283156,2609.822922,3362.35247,4168.009558,4953.958374,5730.719572,6485.493145,7214.92739,7990.730422,8746.02886,9459.74216,10128.68946,10740.40793,11301.82863,11784.00256,12205.28328,12570.8367,12886.96257,13153.63951,13356.52,13483.18565,13574.97398,13652.89004,13719.60535
Burscough Bridge,554.5328438,756.2789336,1011.542523,1316.63712,1681.381016,2202.891589,2831.858146,3506.203559,4164.867307,4815.258873,5446.758879,6056.647522,6705.42441,7336.478125,7932.630711,8491.265397,9001.821102,9470.258986,9872.197926,10223.063,10527.23158,10789.58564,10997.25565,11152.96707,11224.85929,11282.94843,11336.85894,11386.62128
Bury Town Centre,439.341936,601.5459674,804.784883,1044.69794,1328.001912,1733.215179,2222.154999,2746.644143,3259.197864,3765.409318,4257.007678,4731.858939,5238.77668,5732.1293,6198.360347,6635.408559,7035.065787,7401.900232,7716.908606,7992.143612,8230.98677,8424.339953,8556.390505,8651.995588,8715.732189,8768.043557,8815.185785,8856.666068
Campbell St,785.9556428,1076.343677,1408.380738,1754.848522,2110.32312,2613.958053,3218.220537,3863.213493,4490.398166,5109.403061,5710.397879,6290.776053,6906.859362,7506.64714,8073.299987,8602.370639,8984.200249,9336.034441,9620.750463,9818.280413,9990.905015,10142.77194,10272.92428,10368.75593,10449.64286,10518.61746,10578.97626,10629.78857
Cannon St,32.03674395,43.80810816,56.3112646,67.86374754,77.77491898,91.68604815,108.3303824,126.1472835,143.4975391,160.6849113,177.4354601,193.6645339,211.0403446,228.0456658,244.150974,257.0629964,262.2210881,267.1047625,271.1308084,274.7040241,277.9285608,280.8620136,283.4603265,285.3627627,287.090807,288.6322816,290.0593191,291.3723888
Capontree,382.2553116,517.1151327,693.510987,913.9390961,1190.239594,1586.033117,2064.589977,2581.047698,3088.434853,3591.176252,4080.750411,4554.801054,5064.117516,5561.106989,6031.469608,6472.932238,6877.425765,7249.350813,7570.081889,7851.235459,8096.186358,8308.858903,8489.316529,8628.25021,8744.698822,8840.326149,8912.53402,8961.77921
Carleton,61.97536794,84.49451865,113.7413021,150.7786888,197.7604393,264.5633883,344.9452997,431.6581709,516.8047658,601.33118,683.779134,763.7280304,850.5445724,935.4751161,1015.965367,1091.612276,1161.041454,1225.000841,1280.337957,1329.006128,1371.578217,1408.690706,1440.3436,1464.805475,1485.437702,1501.494857,1514.482318,1525.418602
Carlisle North,76.63868812,104.8053306,141.3339991,186.5030041,242.4445817,322.6904826,419.8145917,524.6794368,627.7467247,729.8576337,829.2836787,925.5481701,1029.59545,1131.166863,1227.334788,1317.635909,1400.419178,1476.580784,1542.321729,1600.014632,1650.347319,1691.598318,1726.396579,1753.176541,1775.72053,1792.997032,1806.950171,1816.886109
Carr St,673.8091595,913.5576756,1219.268956,1587.023116,2029.489706,2660.427923,3418.994403,4227.729778,5013.903265,5788.219074,6538.348875,7261.358659,8019.443286,8754.549267,9447.601339,10095.82052,10686.92583,11227.83896,11689.8382,12091.42909,12437.71035,12735.29368,12984.19604,13172.24998,13277.37391,13339.07702,13395.66848,13447.52252
Castleton,451.1583232,615.6264449,828.6348054,1091.12317,1413.703101,1873.389903,2425.748693,3014.844411,3587.698332,4152.179384,4699.229089,5226.675193,5783.346069,6323.604247,6833.268727,7310.277634,7745.636062,8144.40353,8483.862344,8768.451016,9014.642997,9227.087691,9405.812687,9541.306997,9649.569161,9738.454956,9812.171343,9861.694243
Catterall Waterworks,65.32273646,88.92074451,118.2169173,152.6430726,193.307168,251.4761199,321.7968433,397.7372885,472.3655318,546.3552216,618.4536593,688.3048476,763.6871268,837.3286648,907.0698329,972.56564,1032.600147,1087.845609,1135.50465,1177.312213,1213.768056,1244.294468,1267.059748,1280.855508,1290.639336,1299.085744,1306.543575,1313.324299
Cecil St,366.3894461,505.1702139,676.9077992,880.3479701,1120.934461,1461.705553,1869.863299,2305.617999,2729.585743,3148.307805,3554.951347,3947.747734,4368.283371,4777.830634,5164.945232,5527.944994,5859.934106,6164.825855,6426.748073,6655.778391,6852.081025,6993.863932,7096.333253,7170.679964,7234.77873,7289.120275,7334.996586,7371.377895
Central Manchester,58.99992396,80.73064172,103.8083303,125.1689131,143.5435373,169.2902436,200.0508806,232.9352612,264.9213992,296.599137,327.464882,357.3638368,389.365116,420.6800392,450.3342504,474.7797535,484.1968565,493.1122698,500.4505286,506.9600747,512.8324504,518.1747671,522.9061677,526.3639551,529.5066863,532.3122743,534.9116872,537.3055856
Chadderton,454.5908664,619.0735201,822.4472149,1057.871526,1330.156367,1718.413065,2185.466098,2683.838127,3168.578735,3646.200764,4109.10597,4555.444734,5025.199021,5481.093197,5911.132239,6313.552211,6680.635547,7016.778168,7304.001152,7553.828271,7767.769241,7923.693906,8033.104853,8103.060506,8154.371366,8193.959019,8230.42752,8263.636418
Chamberhall,856.1005457,1164.06308,1542.729636,1979.33352,2483.166425,3200.920366,4064.241199,4986.884458,5885.481764,6771.934594,7631.986326,8462.038692,9338.643387,10190.50503,10986.59412,11705.42769,12361.74817,12963.58821,13478.08906,13926.36661,14314.25875,14644.57844,14893.19951,15068.54451,15191.04612,15273.5385,15346.42554,15412.14201
