Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Askerton Castle,2.639003311,4.304971359,5.858953537,7.996782154,15.36939152,23.78073714,30.97588161,36.13246376,38.43806878,39.27154877,39.68350142,44.14463375,63.42922059,82.76149199,101.9817609,120.0178074,137.4879373,155.4258001,172.8558584,186.0125106,196.8903512,208.9758155,222.8634568,239.6225812,258.0010534,276.8540819,295.7688608,295.773458
Aspatria,21.77933879,44.36248731,75.7710303,112.8869291,189.682224,270.3837219,333.7943306,382.1934327,413.4863749,434.7713795,453.8581566,528.6628743,790.4543651,1056.173305,1321.705297,1578.282014,1826.00216,2067.04469,2303.917801,2508.46298,2696.303574,2902.096503,3121.12159,3356.734577,3601.501141,3848.953763,4096.486197,4100.72205
Atherton Town Centre,117.7186655,212.4373971,360.9290124,553.3420297,863.3110662,1176.077511,1432.788801,1623.51092,1767.138759,1895.539229,2018.385559,2406.409786,3641.650812,4891.33559,6157.446346,7402.062635,8591.248787,9722.954336,10829.60815,11838.07088,12805.89476,13839.12195,14934.64294,16082.16964,17248.62828,18423.08131,19581.52318,19652.07471
Athletic St,47.09123774,80.96733274,127.8361062,192.6281481,305.4162269,423.0266677,518.047795,582.8207329,621.7898998,650.9301393,678.6058695,822.9112576,1349.329772,1876.777999,2406.860785,2927.69249,3426.903066,3912.931168,4386.676428,4818.555857,5232.764547,5670.438404,6136.527016,6629.678486,7133.289693,7639.947855,8136.531877,8147.168168
Avenham,62.13598703,87.82530396,130.340662,178.7037944,237.8201508,297.1443681,349.9491942,387.5002969,412.6454927,432.1321956,448.813285,487.9183191,608.3992771,728.7675795,843.7444101,948.0246623,1033.799154,1108.154626,1175.520303,1232.017067,1281.111508,1332.108934,1390.379325,1455.912187,1522.398071,1587.072217,1644.080749,1620.631619
Baguley,141.1252457,205.0976428,289.82944,405.6704168,601.4689869,800.5519431,964.9824299,1065.986695,1111.122071,1135.240903,1152.76863,1293.591556,1849.653766,2384.300455,2907.69281,3397.930326,3839.594228,4249.332805,4623.804251,4922.653462,5186.356269,5459.469801,5761.482914,6092.551215,6425.811585,6750.145913,7042.875359,6920.794605
Bamber Bridge,50.78006076,100.5105539,181.6948717,275.5646952,404.1864184,528.804941,635.7539073,726.363514,806.4225644,882.5453115,955.5397843,1131.853281,1628.937745,2139.125056,2650.711995,3153.381092,3629.302985,4069.597415,4507.23881,4917.049859,5314.821324,5736.637826,6172.110533,6619.556899,7072.310365,7527.870207,7977.96366,8013.553919
Barbara St,61.22179834,88.91326342,125.0894317,181.3482891,295.263629,410.4820053,496.7936658,544.678966,564.3355036,575.4498101,583.5855573,704.5139776,1183.219652,1644.884931,2096.726772,2526.471178,2928.170112,3308.521957,3662.853802,3962.692654,4234.012814,4515.078123,4810.659472,5115.952735,5415.463584,5704.133035,5972.018769,5867.822956
Barrow,43.67819569,73.47090987,110.9164627,160.9210465,256.3978593,351.4842729,419.4086055,460.8170182,480.0232201,490.3085135,497.6477903,650.3836283,1264.65365,1876.557167,2489.825352,3092.808956,3680.233241,4261.650115,4832.693644,5364.692725,5876.106608,6417.221636,6981.497852,7567.510818,8162.496572,8760.351884,9349.343039,9345.421551
Barton Dock Rd,24.5442321,45.67613424,83.10987936,127.5624,183.4736232,241.3817403,297.4504556,350.7206953,400.7730863,449.8445147,498.905556,573.68618,729.1163502,892.6593659,1059.323528,1222.991096,1372.652862,1500.863976,1628.151691,1749.436812,1867.245419,1989.415712,2115.655494,2246.126148,2378.686926,2512.685617,2644.929858,2675.996422
Bedford,95.89326079,175.0439035,314.2289828,477.5467372,699.782398,924.4922611,1121.743524,1288.582178,1433.939565,1571.03113,1704.292374,1981.263969,2711.768366,3465.673793,4229.247607,4977.107865,5678.272801,6319.87911,6952.599158,7539.665862,8102.118107,8700.893401,9327.808607,9978.690043,10639.08352,11304.07061,11962.12844,12036.10566
Belgrave,51.46074335,81.62803899,128.4289231,201.7923688,339.8338386,482.4242805,598.5968124,673.6522428,720.7187777,759.2778123,795.3929203,928.4173341,1372.628879,1803.904164,2230.733634,2637.583249,3013.523322,3358.813052,3677.234062,3937.637204,4170.580771,4413.744454,4675.52815,4949.076237,5217.36306,5475.549284,5715.609452,5631.134353
Benchill,30.61022242,43.26405127,61.02907255,91.28811969,153.3320405,217.1749419,268.034967,295.198992,305.3416622,310.1618024,313.3507848,351.8537256,509.5621441,659.4854897,807.8021149,947.8106609,1076.666825,1197.266912,1305.695467,1385.455549,1453.789553,1526.995048,1612.717101,1708.149863,1803.545662,1895.768064,1979.949945,1944.084676
Bentham,11.67500292,23.96937765,42.87543412,66.36139863,111.3517721,157.7876327,193.4664795,222.415762,244.4028843,262.2934354,278.598973,323.9241572,465.4815152,609.6360226,753.8759045,894.005025,1028.01656,1156.42336,1281.847856,1390.10889,1490.54255,1602.929106,1722.163048,1848.419541,1978.476587,2109.660897,2240.771915,2246.775416
