Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Athletic St,47.09123774,75.98323078,122.0121461,173.9809137,232.6247505,276.976892,308.1785091,353.1851009,404.3363171,461.3386452,525.0407931,598.2908004,691.1956021,788.7414476,885.6201691,980.2000359,1066.573888,1137.400431,1207.639638,1275.976607,1344.200912,1420.974382,1466.116389,1508.815557,1548.805864,1585.953784,1617.922429,1623.667911
Avenham,62.13598703,84.38346981,127.0978299,173.2192844,222.4723501,256.8255652,279.5842428,303.1471595,328.1347533,353.5334376,378.9768343,406.0570253,436.4137686,469.5800677,500.0587064,527.0921277,546.3352646,555.7279692,564.2927321,572.0024341,578.7099965,587.9152643,591.510693,593.9809847,595.2072125,595.1200984,593.509521,587.4245147
Baguley,141.1252457,196.3057033,278.6246528,364.9618198,456.9823895,524.3415192,559.9353237,606.4261639,658.5707799,717.040548,780.6979268,856.1497444,953.7993732,1053.023623,1147.625209,1233.812146,1305.390077,1357.322098,1406.433305,1452.514514,1495.313011,1545.780091,1565.283616,1580.563089,1591.245008,1597.146095,1599.015956,1575.3773
Bamber Bridge,50.78006076,87.30853167,166.6219006,252.4360076,345.4174207,429.011005,506.0855859,586.7091987,671.0843017,758.7023088,846.7205264,943.6249715,1057.314385,1185.372434,1314.378586,1440.905735,1556.731829,1627.524846,1702.574573,1774.573801,1842.964735,1918.118756,1979.772724,2040.484561,2100.164802,2158.780399,2215.457486,2249.013144
Barbara St,61.22179834,84.68082956,119.4408532,157.503452,200.6061263,229.3307554,247.7111207,282.252346,324.3562752,375.1055341,432.461,499.9899358,582.3140071,663.7777335,742.1575654,815.0199359,880.4628762,935.0486602,986.8341449,1035.658256,1080.816239,1131.022329,1145.691531,1156.32209,1162.79202,1165.170584,1160.722108,1137.537441
Barrow,43.67819569,69.13406348,106.2726779,146.7426594,191.5263693,219.5905422,234.0858098,257.6803286,284.5838791,314.6832492,347.413686,390.3028224,457.5568832,525.5946499,593.1222824,658.1409579,718.1929781,772.0927724,824.782886,876.2071017,929.2173728,989.2616936,1026.67653,1062.667741,1097.073852,1129.795775,1159.604206,1156.989918
Barton Dock Rd,24.5442321,39.98081435,76.57003605,118.2726448,164.7507307,211.3600774,257.0669881,305.5182134,355.4742423,406.6870528,458.8164548,513.9001636,575.3624822,645.4698897,718.4240044,790.9843449,857.1489237,895.5411918,934.9824596,974.6847007,1013.116936,1053.138689,1090.288136,1127.21898,1163.904686,1200.332074,1236.32168,1265.788419
Bedford,95.89326079,155.2990076,293.7850683,446.4575536,612.9943236,763.0731024,910.9588601,1101.434009,1305.892886,1519.83284,1738.95832,1971.315442,2227.239782,2508.327678,2796.473858,3078.604479,3336.776401,3517.349446,3699.299763,3876.698045,4048.454875,4239.169824,4345.657814,4449.315914,4550.460073,4649.363909,4743.846142,4809.48197
Belgrave,51.46074335,74.87700428,119.786577,170.9169919,229.6595778,279.7648733,323.9104687,380.7888953,443.2451423,510.8489311,582.8038556,664.0620434,763.768848,866.9278419,969.3640811,1066.630321,1153.133026,1213.719015,1270.850584,1324.588183,1373.883364,1426.922692,1453.460934,1476.370751,1495.592734,1511.182734,1521.617624,1510.070187
Benchill,30.61022242,41.2540403,58.27284653,76.23683122,95.95989598,109.9513757,118.5838948,131.8856042,147.1783302,164.4677104,183.3137228,205.1070277,232.1200608,259.2724119,285.2225396,309.165684,329.7998052,345.7963188,360.9545057,375.235388,388.5013818,403.563297,407.7916034,410.9093312,412.8555716,413.6118074,413.4046395,407.0721332
Bentham,11.67500292,21.94575401,43.76712829,70.065244,100.8177379,122.788913,145.0715317,184.7978676,229.0123291,275.4945125,322.9736143,375.5368007,444.6974821,516.2402866,587.7915949,657.3782498,721.8859799,775.1353416,825.1370815,871.7395517,923.237708,983.3307986,1011.753428,1039.558077,1066.938724,1094.053143,1120.004513,1125.897737
Bispham,127.5203434,187.2665634,266.2192794,354.1558908,452.7835777,515.0221478,538.8243249,565.1186039,594.3686435,628.195942,666.5373317,720.6089429,812.7884125,908.7753531,1004.818558,1098.5144,1181.615427,1253.557836,1324.762122,1395.567922,1467.010761,1548.735832,1618.851451,1687.511284,1754.309913,1818.939679,1881.173467,1895.261506
Blackbull,52.9768142,88.32428446,163.2359438,243.7569827,329.5679316,406.0908329,478.4929319,568.3579742,665.0930315,764.1188938,863.1392763,969.8367463,1100.11501,1241.681164,1385.979835,1523.460196,1646.385474,1731.645589,1816.235215,1899.113519,1980.893856,2071.284298,2127.73882,2183.209191,2237.791305,2291.556186,2344.358149,2368.577368
Blackburn,18.36078156,30.62991539,54.36334473,82.11684992,114.487505,140.2153495,169.9388729,231.460069,302.6220172,381.4675496,465.4437674,554.9933149,655.2606907,759.0181716,865.5135466,970.8971069,1069.979157,1156.799459,1241.267032,1324.674241,1408.34137,1500.801035,1533.172856,1563.692277,1592.629104,1620.205493,1645.317709,1657.402378
Blackburn Rd Clayton,22.4883003,36.60752148,59.14413824,84.5851178,113.3377473,133.5986972,148.7413943,171.0057425,196.8340821,226.5983439,259.729357,297.6903734,344.6629192,392.2946162,440.0873815,485.580309,525.3828208,556.7418441,585.7664151,613.5286079,639.1713121,667.0283444,679.0456293,688.9612729,696.7392626,702.4334238,704.1601387,694.5847838
Blackfriars,167.0375965,197.1551674,275.68136,356.9067309,439.7910884,513.8741898,579.3653065,650.2623921,722.543425,796.6879923,870.2376299,944.7846263,1020.088475,1104.686465,1184.705891,1258.313666,1316.642285,1342.975292,1367.707551,1389.798496,1408.277501,1430.623935,1435.632715,1438.486522,1439.122037,1437.529821,1433.68719,1425.304681
Blackley,120.8386862,166.8080134,228.7283834,294.581431,365.3648585,413.7964746,434.3629077,465.7834816,502.2161746,543.8903839,590.0833393,646.9998669,725.4345941,803.7805509,878.0679174,945.9408071,1002.863566,1047.912798,1090.175544,1129.598425,1167.432529,1211.979955,1229.889529,1244.321206,1255.015452,1261.857616,1264.469715,1242.546811
Blackpool,34.30818294,58.89613946,93.15531461,133.5824295,180.8375772,202.7782826,209.3361109,216.2021773,223.8215383,232.6935297,242.7590366,254.1669197,267.2109097,281.3976463,295.6908477,309.436153,319.5354504,326.5262839,332.7809095,338.6756402,345.6388624,355.9997445,363.9269667,371.4848736,378.5653424,385.0735488,390.5077668,394.228078
Bollington,32.64389271,56.54396946,108.1045355,166.9512696,233.4968215,290.9106574,345.1406786,413.5406491,486.8010017,562.5477051,639.808396,724.4592315,830.8865487,946.6914186,1064.320174,1179.930295,1286.082188,1361.21523,1436.446049,1509.38975,1583.931589,1665.540471,1720.867011,1775.361358,1829.11132,1882.198242,1933.630744,1958.34734
Bolton By Bowland,4.358874925,7.708084425,13.84066934,21.81548689,31.72416861,37.05942924,41.01194974,47.50120539,54.66587094,62.22006181,69.92713857,80.19195392,99.27847862,118.7649564,138.2983218,157.0726884,174.161128,188.4968118,201.2510444,212.3354634,226.5984833,244.0439166,256.7174734,269.3078563,281.8291854,294.3034933,306.2084958,307.4144606
Bolton Le Sands,25.12670367,48.00351807,97.32390077,157.3248754,228.9372225,281.4726788,359.7138441,568.8252588,813.2952283,1078.911573,1354.413778,1644.432388,1971.472454,2304.125496,2636.270675,2962.044585,3275.260277,3559.097803,3835.585246,4102.945853,4379.059948,4688.457786,4760.58582,4827.979947,4892.324266,4954.841911,5014.150833,5029.366934
Botany Bay,32.12998273,56.11345764,109.8522474,171.1204503,239.7294029,301.8809496,364.3176433,447.5668275,537.9121648,633.625196,732.3756426,838.8801736,958.7998066,1087.28721,1218.668683,1346.231846,1464.337541,1549.071624,1633.070995,1714.797414,1795.976371,1885.343428,1933.626087,1980.101788,2024.866354,2068.049748,2107.448114,2129.715437
Bow Lane,82.44939923,142.3330435,279.2862101,429.054948,591.881076,744.097449,887.7810907,1035.668338,1188.167463,1344.283095,1499.747943,1668.560163,1862.755681,2082.65047,2306.639038,2525.22483,2723.755974,2839.143661,2960.258978,3076.764186,3187.676453,3308.853788,3414.207557,3518.391857,3621.248381,3722.688529,3821.903649,3887.409414
Bowaters,1.571953968,2.329396869,3.475945232,4.683762935,6.025629508,6.944571246,7.396893169,7.983125373,8.674058122,9.51563114,10.52997777,11.83966046,13.57060572,15.31939665,17.04376028,18.69157186,20.17389144,21.46542262,22.74382568,24.01955439,25.27356729,26.7199849,27.57079053,28.3438346,29.01956839,29.58356319,30.0466269,29.94239754
Bowdon,65.67705302,107.3160612,177.7479992,258.7510156,350.6687984,420.4369846,472.4778598,532.8678945,597.6589573,666.6379937,739.1185738,817.6034319,906.2509378,1003.855071,1102.486042,1199.692143,1285.953797,1344.154447,1402.589743,1460.766899,1518.952277,1583.966316,1631.970083,1678.694596,1723.991038,1767.780636,1808.420933,1837.180892
Bradford,64.51565943,99.06539593,187.080205,279.9455204,376.2074743,467.1656354,555.9122155,661.567195,774.2355368,893.1856965,1014.636193,1139.964367,1271.465424,1417.307032,1565.031641,1705.31082,1829.141755,1905.757791,1982.109762,2056.281032,2126.491467,2205.69107,2246.71145,2285.568835,2322.249755,2356.833996,2388.261431,2413.444538
Bradshawgate,35.34121207,52.66981143,92.4245894,136.1774805,184.462761,229.3594038,271.0417731,316.8839858,364.5382739,416.1354961,468.1531576,524.100093,585.7185577,655.6552689,728.4489822,797.9408944,861.2071395,901.3989378,942.6478504,983.6057138,1021.48354,1063.502087,1096.821703,1129.487301,1161.439447,1192.654981,1222.562335,1246.216218
Bramhall,62.20845688,88.10092453,120.025586,155.2675899,194.420558,222.3594234,232.8387868,243.2659094,254.5543781,266.8906069,280.151576,301.6460411,345.4389371,390.8489362,435.9682408,479.7727081,519.3453618,554.2028374,589.311883,624.553724,660.1108912,699.8077704,737.6282132,775.1206519,812.129278,848.5355245,884.3010612,891.1380042
Bridgewater,99.00619253,105.4725707,124.3561146,144.5079456,165.3256895,182.9548809,198.0572186,215.7508517,234.6487774,254.5353116,274.4436778,295.6666001,319.4589266,346.6648254,372.894383,397.6239995,419.4267742,433.905288,448.133769,461.9707203,475.6088119,491.2562479,501.3565254,511.191934,520.7353222,529.9617622,538.5803824,543.2258528
Brinksway,53.7235493,77.59121964,116.2954994,159.0799885,206.4364405,242.4437681,266.7985839,294.6778614,324.8978777,357.5849624,391.9990562,430.8921117,478.6698182,528.9059181,576.7971536,621.8632568,659.4401355,684.3500137,708.4204194,731.2614576,751.8027658,775.1707135,788.8281976,800.5936734,810.3593314,818.0922047,822.9570442,817.3699568
Broadheath,168.730715,256.6259297,431.0363739,624.6270524,836.1345082,1021.147035,1176.396848,1340.254561,1506.638878,1674.688907,1842.830798,2018.132072,2211.141221,2425.673632,2636.813028,2838.38693,3006.838558,3088.984355,3169.622067,3246.628629,3316.586032,3391.346659,3444.230325,3491.779157,3533.812349,3570.247417,3600.837001,3608.106766
