Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Ashton On Mersey,773.6451778,1113.16387,1626.211416,2263.388398,2992.570635,3781.159822,4616.286946,5608.966101,6555.225384,7469.707524,8343.961283,9170.670787,9895.341531,10575.50383,11196.01982,11759.73118,12254.9663,12687.13509,13027.87912,13302.07036,13520.30103,13686.15736,13781.50523,13836.48147,13871.56963,13915.61008,13955.16584,13994.17233
Ashton Under Lyne T11 & T12,512.5066842,751.6402167,1114.49099,1574.564285,2112.77804,2704.092944,3333.408706,4081.576103,4798.856291,5494.653074,6161.923479,6794.823858,7372.577231,7918.150875,8417.946399,8873.849421,9276.90363,9631.310786,9915.461887,10132.28224,10281.35939,10403.04851,10503.55471,10578.04702,10648.667,10716.67273,10770.67805,10819.16825
Ashton Under Lyne T13,156.6184928,229.9953205,339.1398373,473.5581102,625.4804726,789.8477766,964.42086,1173.322511,1373.633493,1567.934159,1754.288272,1931.034229,2092.095954,2244.239304,2383.640443,2510.820261,2623.239902,2722.076062,2801.221261,2856.986177,2886.782181,2910.997325,2931.191342,2945.857081,2961.145582,2977.083243,2993.197693,3007.760702
Ashwood Dale,689.0382028,996.3998769,1472.107714,2092.780788,2845.69257,3681.623507,4572.957913,5631.692642,6649.89627,7640.24037,8592.087461,9496.831541,10326.50644,11111.59616,11831.57198,12488.82121,13070.72167,13583.33264,13996.16065,14335.45783,14612.97693,14840.93832,15029.13632,15170.6714,15301.47546,15413.38136,15512.81846,15593.91671
Askam & Dalton,746.4078485,1085.291083,1609.524287,2300.732446,3150.220387,4097.881251,5110.127384,6316.214481,7481.492662,8618.82854,9715.190009,10760.15623,11740.08401,12671.43267,13527.81624,14311.53584,15008.09221,15624.39659,16125.41449,16541.06975,16884.97005,17168.72522,17395.42927,17567.47624,17728.57131,17880.2312,18022.53706,18149.19729
Askerton Castle,25.54962329,37.03101178,54.9244043,78.36744881,106.9939644,139.1628741,173.7882084,215.1729796,255.299719,294.4499417,332.1762039,368.1242847,401.7943786,433.7662053,463.156607,490.0441165,513.9344507,535.060843,552.2246103,566.4498255,578.2038574,587.9499853,596.077607,602.2380733,607.9167723,612.9327211,617.3095623,620.5659327
Aspatria,316.3738775,461.7438055,688.7784453,989.4317313,1360.583626,1779.650408,2231.040426,2770.472608,3294.372185,3806.264867,4300.134234,4771.2616,5218.03351,5643.093986,6034.317519,6392.655204,6711.617089,6994.287149,7224.972895,7417.030937,7576.616743,7709.678596,7821.293546,7906.345877,7984.809267,8055.882912,8120.000523,8168.678735
Atherton Town Centre,1386.827544,2006.333615,2964.63887,4199.611261,5674.904259,7310.849697,9057.690647,11130.1911,13119.08964,15048.15842,16897.76725,18651.93363,20238.64715,21734.95015,23104.47502,24352.44978,25454.5066,26422.1174,27196.11311,27827.97881,28340.08612,28756.75975,29080.22823,29291.00316,29489.30928,29666.90877,29821.77978,29955.58431
Athletic St,452.6871349,659.3187561,979.2848869,1396.05201,1899.125204,2458.618829,3055.347966,3762.122887,4440.37639,5098.8153,5730.602314,6330.215545,6877.959623,7395.276838,7869.222294,8301.53301,8683.808542,9020.081202,9290.079557,9511.37735,9691.765859,9839.396545,9957.784549,10032.6336,10104.23788,10169.87198,10224.95751,10277.2531
Avenham,241.6186477,352.2305607,501.4451895,657.9018138,798.1110039,928.9719018,1064.039733,1236.548177,1402.184595,1563.286611,1718.395028,1865.808541,1996.806815,2121.275796,2235.58195,2296.814947,2327.962447,2355.297478,2373.826168,2387.54759,2397.997183,2406.374109,2413.719266,2418.478622,2425.386056,2434.196137,2444.297004,2454.78935
