Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Askerton Castle,25.54962329,31.72147064,41.60884388,55.32344435,73.95467843,100.7036752,130.9578708,162.9510401,193.984716,224.1498723,252.8534144,281.4928838,312.1364927,343.542431,373.0403263,400.5960257,425.5412885,448.220248,468.1727452,485.5067327,500.5563644,513.5915964,524.7063643,533.7447383,541.3348046,547.4597222,552.1751371,555.2453688
Aspatria,316.3738775,395.5385464,521.7949136,698.488622,940.4411279,1287.824341,1681.197514,2098.085893,2503.167082,2897.517245,3273.273674,3648.431366,4053.662186,4469.325187,4860.221667,5225.799438,5557.265485,5859.111466,6125.289115,6357.171093,6559.146368,6734.630899,6884.812401,7007.146672,7110.274566,7195.359735,7263.231733,7308.846325
Atherton Town Centre,1386.827544,1718.663623,2245.908672,2964.712561,3922.517705,5290.41555,6825.410609,8428.921785,9968.294865,11455.40315,12862.62561,14262.53796,15722.52046,17214.06029,18609.04232,19907.38032,21076.50795,22133.79688,23056.70319,23851.48774,24534.2716,25119.87501,25598.31245,25959.69851,26259.49835,26497.91254,26675.18267,26802.46945
Athletic St,452.6871349,564.7850156,741.8726245,985.5419166,1312.683333,1779.152332,2302.353352,2849.06515,3373.936941,3881.470622,4362.149801,4840.513659,5343.186238,5857.052375,6338.109418,6786.24846,7190.253682,7556.118311,7876.07428,8152.244969,8390.250291,8595.002135,8765.491046,8891.608875,8997.573172,9083.534128,9146.087568,9195.472855
Avenham,241.6186477,301.7274132,379.8776676,464.4453142,551.6576846,672.2402455,801.8057102,936.441053,1065.423736,1190.051159,1308.046889,1426.724203,1551.231946,1680.048457,1800.605254,1877.575729,1927.569047,1973.031728,2012.515729,2046.377944,2075.96808,2102.038526,2124.713033,2143.42184,2159.746114,2174.17719,2186.390938,2196.399038
Baguley,713.3641944,893.5135752,1164.685265,1519.723502,1974.769384,2619.864721,3337.456828,4082.687102,4794.607105,5480.969038,6129.291515,6774.340843,7446.224182,8133.078342,8774.920482,9371.969479,9908.971302,10389.56177,10803.32735,11159.03412,11464.25856,11716.33255,11913.55271,12053.21738,12134.4164,12203.59453,12253.10774,12292.88869
Bamber Bridge,611.155079,760.5051431,994.5786471,1310.632005,1729.515912,2330.621448,3009.007372,3724.542496,4417.24592,5089.291595,5727.700554,6364.32885,7041.661273,7735.448464,8386.375475,8993.886489,9543.071918,10041.68023,10479.43108,10858.8518,11187.38229,11471.09479,11704.72913,11860.94266,11994.04481,12097.12796,12177.58872,12243.63347
Barbara St,694.4515843,866.1758331,1117.150291,1430.895712,1815.634591,2361.432509,2967.721949,3599.814862,4206.006156,4790.99459,5344.075273,5895.428304,6470.590702,7059.667431,7610.427279,8122.833441,8576.057578,8983.95547,9339.605847,9640.138778,9824.77449,9977.917905,10108.84154,10215.75552,10287.21929,10339.57404,10385.14574,10423.59967
Barrow,670.4451251,835.3214129,1092.047325,1441.93592,1908.448009,2571.496789,3313.102365,4088.426113,4833.182032,5554.146708,6237.669087,6918.691795,7636.671903,8371.653604,9060.166928,9701.949899,10281.03129,10805.87269,11265.4513,11662.70081,11993.81639,12266.73627,12498.6171,12687.19928,12845.50544,12976.85954,13072.93829,13137.07473
Barton Dock Rd,142.9501599,179.0786399,234.2944643,306.9632612,400.7901108,535.2064029,686.3555518,844.9556247,997.8382755,1145.705282,1285.783098,1425.294888,1572.638406,1723.383549,1864.579427,1996.177898,2114.888361,2222.449057,2316.582543,2397.870025,2467.983644,2513.735206,2550.280486,2580.224693,2605.795627,2627.755391,2645.911256,2660.361316
