Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Ashton (Golborne),11.20116281,18.73411022,22.37104516,26.67037035,33.34725754,40.24242646,45.78587132,51.29944076,56.69953705,62.09703074,67.4491576,79.8719417,111.0597126,141.9390718,174.2747646,205.7369212,236.5553347,264.8854119,291.045477,316.6436567,343.5031449,367.4490141,392.1016705,419.1821987,446.7945534,474.9086478,496.1355464,496.1993416
Ashton (Ribble),4.045102347,6.77736207,8.110738709,9.688695429,12.13808194,14.67446778,16.72299198,18.76417689,20.76814809,22.76880329,24.74892497,29.32164872,40.78584479,52.13725743,64.01267606,75.54472743,86.82626601,97.19096126,106.7596784,116.1201813,125.9433399,134.6678576,143.6557899,153.5260629,163.5834908,173.8167724,181.5222295,181.4811683
Ashton On Mersey,9.444201338,15.62318407,18.45168922,21.7481933,26.87394745,32.04690335,36.02092141,39.8549177,43.48819819,47.01595791,50.39356041,58.88060192,80.74736341,101.7683965,123.2176761,143.4131925,162.5287342,179.3320713,194.1193475,208.0183324,222.216373,233.9485834,245.645199,258.3187754,270.7429822,282.8806927,290.3888266,285.2718522
Ashton Under Lyne T11 & T12,27.3887635,45.11268178,52.99291395,62.19323293,76.58752759,91.03296979,102.0121892,112.5660866,122.523506,132.1333168,141.3162789,164.7545905,225.5176554,283.7049134,342.8350398,398.254595,450.5028872,496.1947131,536.1595757,573.5188874,611.5684491,642.9205491,674.043742,707.7899722,740.7958686,772.9662072,792.4551089,777.5204426
Ashton Under Lyne T13,6.032750771,10.06414239,11.97558778,14.23976321,17.76960577,21.40708474,24.31817661,27.20754869,30.03236396,32.85179364,35.6456324,42.17080497,58.58825899,74.82575739,91.81741365,108.3329775,124.4988672,139.3474853,153.0506453,166.4568449,180.5238413,193.0672923,205.9836483,220.1801479,234.6616487,249.4134008,260.555967,260.5927926
Ashwood Dale,20.23999731,33.49340093,39.58804796,46.68859323,57.73293109,68.88937094,77.47029812,85.77096553,93.64467793,101.2701488,108.5834675,126.8757051,174.0018989,219.2601702,265.3421401,308.6423022,349.5561714,385.439033,416.9120122,446.3975132,476.4430929,501.2657716,525.9232099,552.6308299,578.7623866,604.2399418,619.7953613,608.3998148
Askam & Dalton,17.49579582,29.21669451,34.87395898,41.52105516,51.82311292,62.42433781,70.88689962,79.26243226,87.40869385,95.50042456,103.4733267,122.2094014,169.4658576,215.9987759,264.4981169,311.3802728,357.0139263,398.6448709,436.7949751,473.8878213,512.6443305,546.6903245,581.6044823,619.8642571,658.6392664,697.8760538,726.7426286,724.4913139
Askerton Castle,1.699653964,2.840260774,3.390927215,4.039900446,5.046176934,6.082758095,6.912024312,7.733278108,8.533549317,9.329780812,10.11383748,11.95093544,16.58072583,21.14303363,25.90036373,30.50182199,34.98368646,39.07593608,42.82909346,46.48149453,50.30065717,53.66766866,57.12202564,60.91017077,64.75455781,68.6502289,71.53130589,71.35276642
Aspatria,11.04667374,18.47158346,22.06326459,26.29643061,32.86192411,39.63089498,45.05205075,50.42513824,55.67481596,60.90256697,66.0651197,78.1222272,108.4712121,138.4218675,169.6846773,199.9702779,229.4967055,256.4845814,281.2556235,305.395465,330.6560745,352.9937664,375.9192147,401.0687294,426.6175773,452.5338717,471.7882963,470.8741792
Atherton Town Centre,23.10120756,38.61666288,46.08493138,54.91315808,68.63042701,82.78660021,94.15282312,105.4502249,116.5091429,127.5563388,138.5057854,163.9650564,227.9228875,291.2183809,357.4759715,421.9158002,485.0088786,542.9792538,596.4881461,648.8326295,703.7479476,752.6646289,803.0223671,858.3381113,914.7281076,972.130772,1015.423449,1015.399496
Athletic St,8.628526928,14.44652598,17.27517577,20.6150582,25.79374759,31.14595273,35.45484957,39.74688766,43.95246309,48.15077649,52.31330567,61.96588905,86.16980147,110.141227,135.2490119,159.6810023,183.6126613,205.616709,225.9305437,245.8061458,266.6551442,285.2371501,304.3619105,325.3645072,346.7724067,368.5615789,384.9976104,385.0049638
Avenham,20.01261838,33.05546461,38.99867265,45.92395799,56.71226167,67.57390173,75.88716126,83.90290507,91.49313109,98.80462699,105.7659279,123.3712744,168.9283775,212.527182,256.7289104,298.0060597,336.8256781,370.7086476,400.2950032,427.9014807,456.0125405,478.8754281,501.5866803,526.179816,550.1496371,573.4258279,587.2311287,575.5038148
Baguley,7.762038522,12.83697383,15.16577623,17.88529758,22.12218233,26.40366647,29.70733853,32.91522123,35.9735778,38.93394823,41.76552133,48.82311138,66.99995643,84.47399685,102.2487281,118.904621,134.6288275,148.4127206,160.4879556,171.7738068,183.2594445,192.7662759,202.1883253,212.393304,222.3715307,232.0933277,238.0000308,233.5577728
Bamber Bridge,13.57444724,22.76293981,27.27673653,32.60094309,40.84404185,49.37382856,56.27063296,63.14255658,69.89303741,76.64477651,83.34279932,98.79170382,137.4801627,175.8647885,216.1218657,255.3178678,293.7346215,329.0826008,361.7568303,393.7344339,427.282087,457.2086836,488.0099517,521.8271747,556.2987438,591.384881,617.8812535,618.0035152
Barbara St,12.06468709,19.88060353,23.38150845,27.45605671,33.81824222,40.19822227,45.03904871,49.69040857,54.06978503,58.29045399,62.31383659,72.61167422,99.33320705,124.8860334,150.8258698,175.1113239,197.9781651,217.9484691,235.3948373,251.6936909,268.2912825,281.8497073,295.3191041,309.9125502,324.1556301,338.0068701,346.2901662,339.5227758
