Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Askerton Castle,2.639003311,4.304971359,5.858953537,7.996782154,15.36939152,23.78073714,30.97588161,36.13246376,38.43806878,39.27154877,39.68350142,44.14463375,63.42922059,82.76149199,101.9817609,120.0178074,137.4879373,155.4258001,172.8558584,186.0125106,196.8903512,208.9758155,222.8634568,239.6225812,258.0010534,276.8540819,295.7688608,295.773458
Aspatria,21.77933879,44.36248731,75.7710303,112.8869291,189.682224,270.3837219,333.7943306,382.1934327,413.4863749,434.7713795,453.8581566,528.6628743,790.4543651,1056.173305,1321.705297,1578.282014,1826.00216,2067.04469,2303.917801,2508.46298,2696.303574,2902.096503,3121.12159,3356.734577,3601.501141,3848.953763,4096.486197,4100.72205
Atherton Town Centre,117.7186655,212.4373971,360.9290124,553.3420297,863.3110662,1176.077511,1432.788801,1623.51092,1767.138759,1895.539229,2018.385559,2406.409786,3641.650812,4891.33559,6157.446346,7402.062635,8591.248787,9722.954336,10829.60815,11838.07088,12805.89476,13839.12195,14934.64294,16082.16964,17248.62828,18423.08131,19581.52318,19652.07471
Athletic St,47.09123774,80.9673279,127.8360909,192.6281136,305.4161539,423.0265413,518.0476919,582.8206748,621.7898998,650.9301393,678.6058695,822.9112576,1349.329772,1876.777999,2406.860785,2927.69249,3426.903066,3912.931168,4386.676428,4818.555857,5232.764547,5670.438404,6136.527016,6629.678486,7133.289693,7639.947855,8136.531877,8147.168168
Avenham,62.13598703,86.66051213,126.8382258,171.4055065,224.6964531,276.3691925,320.1843782,348.5115607,364.5235693,374.6241087,381.4816734,406.2095097,495.5835171,580.1394985,655.5629076,717.9215889,761.8745291,793.4281329,816.1909526,827.8279456,831.1476065,832.3130861,834.2275953,836.129368,833.7527398,825.3123761,807.7959634,747.9838242
Baguley,141.1252457,202.3775149,282.0413169,389.1027802,568.277951,744.5804729,882.90616,958.73136,981.5451527,984.163216,979.8286299,1076.961391,1506.671611,1898.035683,2259.185993,2573.189955,2829.649293,3042.481722,3210.414305,3307.673416,3364.755974,3411.123551,3456.889749,3498.947974,3519.143986,3510.223985,3460.417798,3194.212894
Bamber Bridge,50.78006076,100.5105539,181.6948717,275.5646952,404.1864184,528.804941,635.7539073,726.363514,806.4225644,882.5453115,955.5397843,1131.853281,1628.937745,2139.125056,2650.711995,3153.381092,3629.302985,4069.597415,4507.23881,4917.049859,5314.821324,5736.637826,6172.110533,6619.556899,7072.310365,7527.870207,7977.96366,8013.553919
Barbara St,61.22179834,87.73404242,121.7281034,173.9419996,278.9700113,381.782704,454.5390405,489.8755382,498.523783,498.8690369,496.0352165,586.5331679,963.8146837,1309.419829,1629.090851,1913.250019,2157.960971,2368.870137,2543.204168,2662.64795,2746.903446,2821.059532,2886.395683,2938.088138,2965.819313,2966.274338,2934.267467,2708.22598
Barrow,43.67819569,73.47090987,110.9164627,160.9210465,256.3978593,351.4842729,419.4086055,460.8170182,480.0232201,490.3085135,497.6477903,650.3836283,1264.65365,1876.557167,2489.825352,3092.808956,3680.233241,4261.650115,4832.693644,5364.692725,5876.106608,6417.221636,6981.497852,7567.510818,8162.496572,8760.351884,9349.343039,9345.421551
Barton Dock Rd,24.5442321,45.67613424,83.10987936,127.5624,183.4736232,241.3817403,297.4504556,350.7206953,400.7730863,449.8445147,498.905556,573.68618,729.1163502,892.6593659,1059.323528,1222.991096,1372.652862,1500.863976,1628.151691,1749.436812,1867.245419,1989.415712,2115.655494,2246.126148,2378.686926,2512.685617,2644.929858,2675.996422
Bedford,95.89326079,175.0439035,314.2289828,477.5467372,699.782398,924.4922611,1121.743524,1288.582178,1433.939565,1571.03113,1704.292374,1981.263969,2711.768366,3465.673793,4229.247607,4977.107865,5678.272801,6319.87911,6952.599158,7539.665862,8102.118107,8700.893401,9327.808607,9978.690043,10639.08352,11304.07061,11962.12844,12036.10566
Belgrave,51.46074335,80.545439,124.977858,193.5511402,321.0806902,448.6950559,547.6833533,605.8720376,636.6699406,658.2332366,676.0669357,772.940747,1118.10167,1436.007976,1733.209974,1997.39314,2220.863359,2404.87808,2553.188715,2645.812467,2705.750596,2757.745386,2805.31689,2842.25108,2857.328073,2847.405771,2808.284354,2598.985086
Benchill,30.61022242,42.69025749,59.38913586,87.5599001,144.8706744,201.9909168,245.2373392,265.4972454,269.7333051,268.8855169,266.3414515,292.9308529,415.0737995,524.9871043,627.636873,717.7595296,793.4665326,857.231679,906.5745816,930.9277046,943.1760622,954.0796015,967.6302603,980.9892923,987.72533,985.8409898,972.8205709,897.2698503
Bentham,11.67500292,23.96937765,42.87543412,66.36139863,111.3517721,157.7876327,193.4664795,222.415762,244.4028843,262.2934354,278.598973,323.9241572,465.4815152,609.6360226,753.8759045,894.005025,1028.01656,1156.42336,1281.847856,1390.10889,1490.54255,1602.929106,1722.163048,1848.419541,1978.476587,2109.660897,2240.771915,2246.775416
