Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Aspatria,11.04667374,18.47158346,22.06326459,26.29643061,32.86192411,39.63089498,45.05205075,50.42513824,55.67481596,60.90256697,66.0651197,78.1222272,108.4712121,138.4218675,169.6846773,199.9702779,229.4967055,256.4845814,281.2556235,305.395465,330.6560745,352.9937664,375.9192147,401.0687294,426.6175773,452.5338717,471.7882963,470.8741792
Atherton Town Centre,23.10120756,38.61666288,46.08493138,54.91315808,68.63042701,82.78660021,94.15282312,105.4502249,116.5091429,127.5563388,138.5057854,163.9650564,227.9228875,291.2183809,357.4759715,421.9158002,485.0088786,542.9792538,596.4881461,648.8326295,703.7479476,752.6646289,803.0223671,858.3381113,914.7281076,972.130772,1015.423449,1015.399496
Athletic St,8.628526928,14.44652511,17.27517371,20.61505451,25.79374143,31.14594342,35.45484251,39.7468837,43.95246309,48.15077649,52.31330567,61.96588905,86.16980147,110.141227,135.2490119,159.6810023,183.6126613,205.616709,225.9305437,245.8061458,266.6551442,285.2371501,304.3619105,325.3645072,346.7724067,368.5615789,384.9976104,385.0049638
Avenham,20.01261838,32.61706322,37.95072367,44.04841712,53.58269264,62.84939801,69.4326032,75.46092899,80.8233782,85.65572226,89.89877195,102.7110131,137.6039101,169.1834492,199.4703005,225.6744918,248.2289755,265.4238527,277.9340852,287.5193965,295.8475739,299.2054742,300.9520082,302.1847066,301.2935815,298.1940125,288.5277597,265.6171453
Baguley,7.762038522,12.66672219,14.75825057,17.15485952,20.90140759,24.55762506,27.18059041,29.60342279,31.77840838,33.75262432,35.49979803,40.64699225,54.57612345,67.2459966,79.44405043,90.04427607,99.21682967,106.2620911,111.4305019,115.4197952,118.8933576,120.4420223,121.3129952,121.9773285,121.7834393,120.693623,116.9379693,107.7958951
Bamber Bridge,13.57444724,22.76293981,27.27673653,32.60094309,40.84404185,49.37382856,56.27063296,63.14255658,69.89303741,76.64477651,83.34279932,98.79170382,137.4801627,175.8647885,216.1218657,255.3178678,293.7346215,329.0826008,361.7568303,393.7344339,427.282087,457.2086836,488.0099517,521.8271747,556.2987438,591.384881,617.8812535,618.0035152
Barbara St,12.06468709,19.61693505,22.75321455,26.33474751,31.95204045,37.38771931,41.20826693,44.6907576,47.76427074,50.53316924,52.96542562,60.45182447,80.91380442,99.41622383,117.1869639,132.6085754,145.9031193,156.0490232,163.4400836,169.1202798,174.0595224,176.1021142,177.1914624,177.9825645,177.5262659,175.770989,170.144805,156.7028196
Barrow,9.958955578,16.64313152,19.89023595,23.70255004,29.60272767,35.67680407,40.53828198,45.35748391,50.04942894,54.7211987,59.32635291,70.11500462,97.29085848,124.0785897,152.0287643,179.0819268,205.4468863,229.5308798,251.6305095,273.1312983,295.6104906,315.388611,335.6779122,357.9102647,380.4524124,403.2731048,420.1102951,418.9589458
Barton Dock Rd,7.193204822,12.05275442,14.42064056,17.22174904,21.56587804,26.06641884,29.70228605,33.32261684,36.87528645,40.4392581,43.9760738,52.14220805,72.57988781,92.86873066,114.1823837,134.9860014,155.4213367,174.2729913,191.7551248,208.9315423,226.999502,243.1320054,259.7967388,278.1125536,296.8256674,315.9168472,330.4651827,330.9313794
Bedford,22.09787848,36.94864445,44.10588774,52.56753702,65.7123751,79.2824071,90.18601375,101.0267413,111.6434941,122.2521667,132.7704626,157.2034835,218.5619494,279.3031219,342.899771,404.7664672,465.3533098,521.0335127,572.4376498,622.7262943,675.4848921,722.5176749,770.9305794,824.1115216,878.3324012,933.5341758,975.1934168,975.2545245
