Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Ashton Under Lyne T13,6.032750771,10.06442298,12.17013748,15.19514191,19.34216565,23.50594006,30.40063155,47.5147558,64.60865249,81.6868065,98.78145247,116.0942485,130.8678851,145.9397944,162.9018377,179.3099276,195.5711498,209.8944795,222.1833837,234.8434172,248.5922463,256.7524678,256.5087476,257.616439,258.8254958,260.2233748,261.4572414,261.4941944
Ashwood Dale,20.23999731,33.0501128,39.15010848,47.78634089,59.37429683,70.35491482,88.60984274,134.7176613,177.964252,218.2998203,255.7647949,290.7905204,316.5954314,340.4283711,365.7721376,386.8623658,404.6724561,415.6854324,420.2255573,423.1768076,425.6525839,416.5057035,392.9551837,371.3375088,349.6023031,327.8367376,305.5811123,281.7712136
Askam & Dalton,17.49579582,29.21750909,35.44050474,44.30679893,56.40931191,68.5447253,88.61710938,138.422434,188.0424043,237.4641941,286.746084,336.4367511,378.5338356,421.2829654,469.27078,515.3885317,560.8213602,600.4655014,634.0945859,668.5783055,705.9422445,727.0215906,724.2644677,725.2571321,726.4614206,728.1231134,729.2564629,726.9973608
Askerton Castle,1.699653964,2.840339962,3.446014606,4.310946725,5.492749327,6.679141458,8.640857731,13.50525272,18.35823257,23.19873332,28.02754473,32.90036483,37.03616665,41.23727028,45.95225113,50.48582271,54.95471515,58.858782,62.17492835,65.57779595,69.26704677,71.37048542,71.13331267,71.26646723,71.42253804,71.62563915,71.77873579,71.59957873
Aspatria,11.04667374,18.47209845,22.4216939,28.06071906,35.77011149,43.51650182,56.32045597,88.06152136,119.7732833,151.4357559,183.0801712,215.066828,242.2908338,269.9773393,301.0534131,330.9856048,360.5087787,386.3341887,408.2983512,430.8631142,455.3334105,469.4322874,468.1272896,469.2607343,470.5477294,472.1474104,473.4202325,472.5029535
Atherton Town Centre,23.10120756,38.61773953,46.83360526,58.59740905,74.70402578,90.90340352,117.7022986,184.1563068,250.6462274,317.1720266,383.8283046,451.3881112,509.1085959,567.9909183,634.2314642,698.3440626,761.8843943,817.8715788,865.920914,915.3968523,969.1034819,1000.938577,999.9932685,1004.277678,1008.920534,1014.264468,1018.935843,1018.911807
Athletic St,8.628526928,14.44692789,17.55581796,21.99816627,28.07641463,34.1996441,44.32279693,69.41321669,94.55497468,119.72811,144.9710377,170.5891867,192.4764428,214.8189151,239.9578872,264.2998432,288.4310524,309.7136054,327.9830189,346.7923189,367.2002591,379.3254741,379.0179129,380.6848462,382.4806507,384.5356247,386.3293338,386.3367126
Avenham,20.01261838,32.6179726,38.56725308,47.00372745,58.32460946,69.01146048,86.79906478,131.7835596,173.8754086,212.9850956,249.1281728,282.7586025,307.364189,329.9745791,353.8988654,373.5305512,389.9346816,399.7991155,403.4764792,405.6429017,407.4000002,397.9013896,374.7716062,353.563883,332.3187281,311.1182159,289.5257897,266.5359265
Baguley,7.762038522,12.66707535,14.99800609,18.30581878,22.75112307,26.96537477,33.97899142,51.69886567,68.36491946,83.92674451,98.37731512,111.8992635,121.9060265,131.1562657,140.9490999,149.0389446,155.8564338,160.0590512,161.7634863,162.838477,163.7233433,160.1710268,151.0694889,142.7166132,134.3238626,125.9246768,117.3424628,108.1687658
Bamber Bridge,13.57444724,22.76357445,27.71986142,34.78821588,44.45862409,54.21468027,70.34502655,110.2709836,150.3609563,190.5791536,230.9602107,271.9689278,307.0877759,343.0058309,383.4419606,422.5954964,461.4179947,495.6861691,525.1618279,555.4949691,588.3932729,608.0235364,607.7124208,610.5512229,613.5825729,617.0164436,620.0185316,620.1412162
Barbara St,12.06468709,19.61748198,23.12285246,28.10160672,34.7797057,41.05339423,51.51526611,78.04710591,102.75532,125.6519891,146.7781975,166.4210379,180.7361858,193.900921,207.9123231,219.4902661,229.194381,235.0514501,237.2657151,238.6010886,239.6904884,234.1911562,220.6542145,208.2441806,195.8067032,183.3891836,170.7333432,157.2448614
Barrow,9.958955578,16.64359553,20.21336326,25.29280902,32.22248538,39.17473249,50.67770473,79.21146431,107.671383,136.0656291,164.4056485,193.0233197,217.3174133,242.0022799,269.7284111,296.4117491,322.7297137,345.7347251,365.2916193,385.3436454,407.0735221,419.4226957,418.015321,418.7642199,419.6287924,420.7516035,421.5634749,420.408143
Barton Dock Rd,7.193204822,12.05309046,14.65491143,18.37719607,23.47439728,28.62209807,37.1314128,58.19399683,79.329838,100.5532266,121.8668362,143.5450536,162.1208171,181.130722,202.5816172,223.4253198,244.1462337,262.5016067,278.3706164,294.7682769,312.5920417,323.3315268,323.5214865,325.3988446,327.3907388,329.6091865,331.6082761,332.0760854
