Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Baguley,141.1252457,202.3771299,290.9336033,432.3155347,643.6870394,850.2647303,1113.595566,1640.918878,2131.817648,2586.238544,3003.123952,3383.117441,3727.487041,4033.816013,4309.94072,4540.959651,4712.511102,4841.138704,4907.054118,4905.507024,4861.134356,4796.940823,4528.680799,4260.25286,3992.391642,3726.512625,3460.517339,3194.267731
Bamber Bridge,50.78006076,100.5113447,187.447735,304.2959022,455.7729945,603.2069461,824.9288548,1322.928798,1821.550899,2320.24282,2816.385174,3313.462412,3809.360771,4318.384326,4828.819759,5331.283794,5805.930892,6245.33678,6659.928754,7049.437508,7420.549507,7811.595374,7843.498158,7875.467205,7908.113207,7942.808729,7977.977709,8013.562322
Barbara St,61.22179834,87.73445622,127.8697631,203.7962456,331.097905,454.866654,642.5701501,1095.98529,1519.357579,1913.372809,2276.826897,2610.435654,2914.204614,3186.419007,3432.625787,3644.351137,3815.510657,3953.358656,4041.938859,4078.543545,4076.803503,4062.007201,3836.701102,3610.992806,3385.203988,3159.945461,2934.31395,2708.251606
Barrow,43.67819569,73.47591395,118.9766877,201.0374331,325.2371047,448.1012412,675.6307833,1297.246188,1915.889996,2532.679638,3145.840922,3759.093767,4369.191336,4977.904629,5589.548959,6191.036614,6776.050461,7355.66751,7895.099919,8401.216806,8877.860182,9378.333623,9371.518399,9364.751898,9358.482154,9353.736934,9349.39691,9345.453764
Barton Dock Rd,24.5442321,45.67620804,84.74041277,135.7077327,198.0974848,262.4718633,346.7796117,498.4299758,650.8426959,803.7547863,956.8779025,1110.735849,1265.834137,1429.056058,1595.396199,1759.0138,1908.326791,2036.277715,2157.05916,2272.291341,2382.892919,2496.069309,2525.06664,2554.100769,2583.521447,2614.097728,2644.935205,2675.99962
Bedford,95.89326079,175.0668981,321.1468186,511.7162233,756.8480197,1003.317216,1349.812532,2079.084248,2808.763145,3537.629909,4264.317196,4992.924912,5722.85745,6476.240457,7239.271889,7988.394412,8688.454642,9329.910839,9936.438231,10504.42225,11040.98771,11607.25773,11676.46246,11745.75471,11815.95744,11888.7493,11962.15752,12036.12305
Belgrave,51.46074335,80.54583755,132.1507204,228.4241665,381.978763,534.0657184,734.3227609,1150.022329,1539.15441,1901.243678,2236.079249,2543.873534,2825.032395,3079.058767,3312.202118,3513.134751,3672.447994,3792.751331,3862.543086,3879.315486,3860.994169,3832.497056,3630.55411,3426.95367,3221.930674,3015.942981,2808.315007,2599.001988
Benchill,30.61022242,42.69026818,61.53094357,97.96581671,163.030531,227.4434614,304.5061173,454.0945233,593.3661826,722.3147901,840.7060075,948.6886268,1046.551314,1132.297372,1210.718816,1277.10827,1328.630024,1368.464976,1389.941134,1387.263854,1371.29398,1351.908905,1275.893758,1199.870591,1123.961684,1048.398413,972.8453112,897.2834793
Bentham,11.67500292,23.98034521,47.38247162,88.64024907,141.3626485,192.9698879,260.0794612,403.2109308,546.2010148,688.5051667,830.1547236,971.5332236,1113.038701,1257.136084,1401.363691,1542.285601,1675.650567,1804.015699,1911.705678,2011.30499,2105.452405,2210.765205,2216.763293,2222.762643,2228.764736,2234.768395,2240.771915,2246.775416
Bispham,127.5203434,195.0492394,287.3825466,435.698168,629.331881,825.0365346,1144.492277,1903.044144,2660.380597,3417.40768,4173.617197,4928.658551,5683.455877,6438.727207,7193.409406,7932.185908,8624.244212,9304.853835,9920.586674,10500.01226,11055.47809,11608.94403,11613.79371,11618.86004,11626.12703,11639.98132,11655.4085,11672.25361
Blackbull,52.9768142,100.988987,183.1428581,295.3375537,429.8560009,560.8204339,762.9414637,1215.382874,1669.418424,2121.814911,2571.431894,3019.93798,3469.778129,3930.431567,4394.23924,4846.622871,5269.900421,5666.059257,6030.399742,6379.648693,6716.994684,7066.001891,7089.516214,7113.120173,7137.633946,7164.922845,7192.862581,7221.378483
Blackburn,18.36078156,33.68512276,60.3262321,106.8532931,184.1228403,262.2628788,389.2542117,714.2581214,1039.498691,1365.536248,1691.932643,2018.120955,2344.912836,2673.823047,3007.660682,3338.535322,3657.318991,3968.388992,4260.50733,4529.424634,4783.901384,5055.42662,5069.911525,5084.406952,5099.01052,5113.943397,5128.984713,5144.147072
Blackburn Rd Clayton,22.4883003,39.25882633,65.36975333,111.0366461,186.0131748,256.6512905,381.2250993,718.2913657,1033.639183,1327.478221,1599.631777,1849.653605,2077.903566,2284.908552,2472.468645,2635.551759,2768.387874,2876.096967,2950.297488,2991.691816,3005.11596,3010.020343,2845.403814,2680.190341,2514.450709,2348.32323,2181.603032,2014.276172
Blackfriars,167.0375965,201.7023479,277.2248889,359.5941065,451.6525729,537.5483241,636.7072931,799.2491117,949.9406875,1088.192851,1213.070321,1325.954292,1426.886636,1525.556222,1610.98993,1679.579362,1721.497977,1734.986726,1735.431655,1721.54089,1695.126019,1663.94982,1580.374816,1495.318577,1409.723829,1323.486943,1235.714335,1146.359928
Blackley,120.8386862,170.3923883,237.7935078,345.0202431,491.7168411,634.1937992,825.5148541,1220.257347,1587.936048,1928.498243,2241.388647,2526.886908,2785.677309,3016.81305,3223.388162,3395.673451,3521.873857,3618.087363,3664.797915,3668.453418,3642.010969,3597.073579,3395.628946,3194.110625,2993.227062,2794.340469,2595.397169,2396.251382
Blackpool,34.30818294,62.82447798,96.49115418,140.5802352,201.0324334,264.1339496,342.3052809,494.1550948,645.790776,797.4957103,949.0998143,1100.510094,1251.967012,1404.310737,1556.047052,1700.618058,1824.167464,1946.121625,2057.413888,2155.157191,2243.837113,2332.096474,2334.279667,2336.484006,2338.924611,2341.999936,2345.223808,2348.579604
Bollington,32.64389271,63.79834967,120.989027,207.315784,316.2921849,425.8655077,586.2319902,935.3252644,1284.862541,1633.54191,1981.35474,2328.579504,2676.449047,3033.117905,3391.993965,3745.051587,4077.628466,4388.126445,4670.257492,4938.232101,5194.674159,5462.643658,5486.715316,5510.823542,5535.300997,5560.884075,5586.718176,5612.769431
Bolton By Bowland,4.358874925,7.796466205,14.57437524,29.72623,47.83548282,65.59520396,89.18555053,137.746992,186.2715448,234.7229505,283.0593131,331.3720716,379.7192236,428.4955403,477.3296687,524.900101,570.3033915,615.4222691,650.0533141,682.6780774,713.8533739,747.9007589,749.0739579,750.2477172,751.4225429,752.5980044,753.7733015,754.9484851
Bolton Le Sands,25.12670367,52.69233005,105.7800604,199.3039469,321.3990331,441.0448395,638.9669635,1139.761933,1641.666834,2143.123645,2642.563758,3141.246982,3641.206426,4148.303363,4656.238645,5155.706342,5637.38683,6104.969194,6527.475054,6930.064621,7319.92061,7736.419908,7754.265009,7772.111207,7789.960809,7807.81219,7825.663519,7843.514963
Botany Bay,32.12998273,63.9113784,122.2354103,205.8356999,319.9058166,435.2519873,603.4412846,974.1907847,1344.933839,1715.147502,2083.801321,2453.324888,2823.384995,3201.052479,3583.302801,3958.450062,4313.159428,4643.160234,4951.956666,5239.321395,5512.532948,5801.227504,5827.790397,5854.385049,5881.30195,5909.189347,5937.314972,5965.660346
Bow Lane,82.44939923,164.1430307,312.3193302,508.0902816,754.1036131,998.4847774,1350.170742,2085.351654,2821.388753,3557.149525,4288.514674,5021.893301,5754.314409,6510.020115,7271.167659,8018.42467,8718.513044,9353.794881,9952.440471,10515.03546,11052.04005,11612.78997,11675.61135,11738.52324,11802.362,11868.92707,11936.14259,12003.94719
Bowaters,1.571953968,2.447043196,3.768553774,6.372926977,11.13142994,16.21272056,22.22155149,33.05364495,43.82294383,54.54964565,65.19127055,75.82115372,86.37682901,96.66230269,107.2534055,117.5945267,127.4389745,137.1142099,145.7009522,152.2522425,157.7892491,163.5635728,163.4380162,163.3132715,163.1966356,163.1064877,163.0315705,162.9772032
Bowdon,65.67705302,115.3947668,189.6533778,289.0537741,429.6928503,571.5821221,791.507919,1320.119266,1849.077809,2378.08797,2906.71878,3435.571651,3965.158256,4502.987064,5041.233912,5569.341597,6062.087944,6531.955253,6980.897981,7403.601395,7803.484565,8219.957584,8247.545848,8275.204392,8303.609831,8334.172804,8365.238245,8396.74797
Bradford,64.51565943,112.2393627,202.6405546,308.7748758,437.9381033,568.5132361,724.3061306,986.6996126,1248.664699,1509.847652,1767.423821,2023.213936,2280.26385,2549.999464,2823.867326,3086.710028,3320.983333,3518.586745,3705.564173,3872.32427,4025.81364,4187.824279,4215.535365,4243.287335,4271.442738,4300.628029,4330.123028,4359.951351
Bradshawgate,35.34121207,57.71985401,99.57152352,152.0947445,217.7042139,284.3659114,372.9008718,543.8001038,714.6818681,887.6541813,1059.256647,1231.982337,1405.639842,1587.315108,1772.213905,1951.413891,2116.898128,2263.886454,2403.65051,2535.818893,2659.552496,2788.866517,2813.677296,2838.519035,2863.767418,2889.936552,2916.344098,2942.983933
Bramhall,62.20845688,91.13643259,131.8307506,202.7080749,296.3842594,388.7527739,572.9398017,1068.530303,1564.171119,2059.789731,2555.07654,3050.202142,3545.452303,4040.896409,4536.088456,5024.739569,5494.372673,5958.615902,6388.216252,6801.103928,7203.226966,7607.250579,7611.80896,7616.49559,7622.497176,7632.500335,7643.420187,7655.134534
